Time,recommendationservice,emailservice,shippingservice,currencyservice,checkoutservice,frontend,paymentservice,cartservice,adservice,productcatalogservice,Total
2020-12-10 16:35:21,13.75,,0.5,2.5483870967741935,37.5,86.11111111111109,0.25,6.1764705882352935,6.7,3.0,156.53596879612059
2020-12-10 16:35:22,13.75,,0.5,2.5483870967741935,37.5,86.11111111111109,0.25,6.1764705882352935,6.7,3.0,156.53596879612059
2020-12-10 16:35:23,13.75,,0.5,2.7538461538461543,37.5,86.11111111111109,0.25,6.1764705882352935,6.7,3.0,156.74142785319256
2020-12-10 16:35:24,9.642857142857142,3.0,0.5,2.7538461538461543,37.5,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,143.0641130271661
2020-12-10 16:35:25,9.642857142857142,3.0,0.5,2.7538461538461543,37.5,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,143.0641130271661
2020-12-10 16:35:26,9.642857142857142,3.0,2.0,2.7538461538461543,37.5,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,144.5641130271661
2020-12-10 16:35:27,9.642857142857142,3.0,2.0,2.7538461538461543,37.5,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,144.5641130271661
2020-12-10 16:35:28,9.642857142857142,3.0,2.0,2.7538461538461543,37.5,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,144.5641130271661
2020-12-10 16:35:29,9.642857142857142,3.0,2.0,2.7538461538461543,37.5,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,144.5641130271661
2020-12-10 16:35:30,9.642857142857142,3.0,2.0,2.7538461538461543,37.5,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,144.5641130271661
2020-12-10 16:35:31,9.642857142857142,3.0,2.0,2.7538461538461543,100.0,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,207.0641130271661
2020-12-10 16:35:32,9.642857142857142,3.0,2.0,2.7538461538461543,100.0,73.52941176470588,0.25,6.1764705882352935,6.7,3.0115273775216136,207.0641130271661
2020-12-10 16:35:33,9.642857142857142,3.0,2.0,2.7538461538461543,100.0,73.52941176470588,0.25,7.076271186440677,6.7,3.0115273775216136,207.96391362537145
2020-12-10 16:35:34,9.642857142857142,3.0,2.0,2.7538461538461543,100.0,73.52941176470588,0.25,7.076271186440677,6.7,3.0115273775216136,207.96391362537145
2020-12-10 16:35:35,9.642857142857142,3.0,2.0,2.7538461538461543,100.0,73.52941176470588,3.0,7.076271186440677,6.7,3.0115273775216136,210.71391362537145
2020-12-10 16:35:36,9.642857142857142,3.0,2.0,2.7538461538461543,100.0,73.52941176470588,3.0,7.076271186440677,5.468749999999999,3.0115273775216136,209.48266362537143
2020-12-10 16:35:37,9.642857142857142,3.0,2.0,2.7538461538461543,100.0,73.52941176470588,3.0,7.076271186440677,5.468749999999999,3.0115273775216136,209.48266362537143
2020-12-10 16:35:38,9.642857142857142,3.0,2.0,2.8678678678678677,100.0,73.52941176470588,3.0,7.076271186440677,5.468749999999999,3.0115273775216136,209.5966853393932
2020-12-10 16:35:39,13.333333333333332,4.0,2.0,2.8678678678678677,100.0,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,226.4098367156785
2020-12-10 16:35:40,13.333333333333332,4.0,2.0,2.8678678678678677,100.0,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,226.4098367156785
2020-12-10 16:35:41,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,100.0,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,225.5348367156785
2020-12-10 16:35:42,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,100.0,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,225.5348367156785
2020-12-10 16:35:43,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,100.0,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,225.5348367156785
2020-12-10 16:35:44,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,100.0,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,225.5348367156785
2020-12-10 16:35:45,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,100.0,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,225.5348367156785
2020-12-10 16:35:46,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,137.5,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,263.03483671567847
2020-12-10 16:35:47,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,137.5,85.63829787234042,3.0,7.076271186440677,5.468749999999999,3.0253164556962022,263.03483671567847
2020-12-10 16:35:48,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,137.5,85.63829787234042,3.0,5.7333333333333325,5.468749999999999,3.0253164556962022,261.6918988625711
2020-12-10 16:35:49,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,137.5,85.63829787234042,3.0,5.7333333333333325,5.468749999999999,3.0253164556962022,261.6918988625711
2020-12-10 16:35:50,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,137.5,85.63829787234042,2.333333333333333,5.7333333333333325,5.468749999999999,3.0253164556962022,261.0252321959045
2020-12-10 16:35:51,13.333333333333332,4.0,1.1250000000000004,2.8678678678678677,137.5,85.63829787234042,2.333333333333333,5.7333333333333325,4.12,3.0253164556962022,259.6764821959045
