Time,paymentservice,shippingservice,adservice,cartservice,recommendationservice,checkoutservice,currencyservice,productcatalogservice,emailservice,frontend,Total
2020-11-09 14:35:20,0.25,4.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.149532710280374,2.9354838709677415,3.0,84.72222222222223,154.00573776827366
2020-11-09 14:35:21,0.25,4.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.149532710280374,2.9354838709677415,3.0,84.72222222222223,154.00573776827366
2020-11-09 14:35:22,0.25,4.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9354838709677415,3.0,84.72222222222223,153.93196263375089
2020-11-09 14:35:23,0.25,4.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9354838709677415,3.0,84.72222222222223,153.93196263375089
2020-11-09 14:35:24,0.25,4.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9354838709677415,3.0,84.72222222222223,153.93196263375089
2020-11-09 14:35:25,0.25,3.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9354838709677415,3.0,84.72222222222223,152.93196263375089
2020-11-09 14:35:26,0.25,3.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9950495049504955,3.0,84.72222222222223,152.9915282677336
2020-11-09 14:35:27,0.25,3.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9950495049504955,3.0,84.72222222222223,152.9915282677336
2020-11-09 14:35:28,0.25,3.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,142.65954994795038
2020-11-09 14:35:29,0.25,3.0,6.875,3.4782608695652173,8.095238095238095,37.5,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,142.65954994795038
2020-11-09 14:35:30,0.25,3.0,6.875,3.4782608695652173,8.095238095238095,75.0,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,180.1595499479504
2020-11-09 14:35:31,0.25,3.0,6.875,3.4782608695652173,8.095238095238095,75.0,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,180.1595499479504
2020-11-09 14:35:32,0.25,3.0,5.7142857142857135,3.4782608695652173,8.095238095238095,75.0,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,178.9988356622361
2020-11-09 14:35:33,0.25,3.0,5.7142857142857135,3.4782608695652173,8.095238095238095,75.0,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,178.9988356622361
2020-11-09 14:35:34,0.25,3.0,5.7142857142857135,3.4782608695652173,8.351063829787233,75.0,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,179.25466139678525
2020-11-09 14:35:35,3.0,3.0,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,182.5143523344489
2020-11-09 14:35:36,3.0,3.0,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,3.075757575757576,2.9950495049504955,3.0,74.39024390243901,182.5143523344489
2020-11-09 14:35:37,3.0,3.0,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.9950495049504955,3.0,74.39024390243901,182.34435392099502
2020-11-09 14:35:38,3.0,3.0,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.9950495049504955,3.0,74.39024390243901,182.34435392099502
2020-11-09 14:35:39,3.0,3.0,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.9950495049504955,3.0,74.39024390243901,182.34435392099502
2020-11-09 14:35:40,3.0,2.6363636363636367,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.9950495049504955,3.0,74.39024390243901,181.9807175573587
2020-11-09 14:35:41,3.0,2.6363636363636367,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.811550151975684,3.0,74.39024390243901,181.79721820438385
2020-11-09 14:35:42,3.0,2.6363636363636367,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.811550151975684,3.0,74.39024390243901,181.79721820438385
2020-11-09 14:35:43,3.0,2.6363636363636367,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,190.4952095960625
2020-11-09 14:35:44,3.0,2.6363636363636367,5.7142857142857135,3.9879518072289164,8.351063829787233,75.0,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,190.4952095960625
2020-11-09 14:35:45,3.0,2.6363636363636367,5.7142857142857135,3.9879518072289164,8.351063829787233,74.99999999999999,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,190.4952095960625
2020-11-09 14:35:46,3.0,2.6363636363636367,5.7142857142857135,3.9879518072289164,8.351063829787233,74.99999999999999,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,190.4952095960625
2020-11-09 14:35:47,3.0,2.6363636363636367,5.0,3.9879518072289164,8.351063829787233,74.99999999999999,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,189.7809238817768
2020-11-09 14:35:48,3.0,2.6363636363636367,5.0,3.9879518072289164,8.351063829787233,74.99999999999999,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,189.7809238817768
2020-11-09 14:35:49,3.0,2.6363636363636367,5.0,3.9879518072289164,8.888888888888891,74.99999999999999,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,190.31874894087844
2020-11-09 14:35:50,3.0000000000000004,2.6363636363636367,5.0,4.3921568627450975,8.888888888888891,74.99999999999999,2.9057591623036654,2.811550151975684,3.0,83.08823529411767,190.72295399639458
