Time,paymentservice,frontend,recommendationservice,productcatalogservice,shippingservice,emailservice,checkoutservice,adservice,currencyservice,cartservice,Total
2020-12-10 02:43:21,,78.33333333333333,8.5,1.3963963963963963,2.0,,,5.555555555555557,2.4594594594594588,6.184210526315789,104.42895527106053
2020-12-10 02:43:22,,78.33333333333333,8.5,1.3963963963963963,2.0,,,5.555555555555557,2.4594594594594588,6.184210526315789,104.42895527106053
2020-12-10 02:43:23,,78.33333333333333,8.5,1.3963963963963963,2.0,,,5.555555555555557,2.4594594594594588,6.184210526315789,104.42895527106053
2020-12-10 02:43:24,,78.33333333333333,9.166666666666666,1.3963963963963963,2.0,,,4.928571428571429,2.4594594594594588,6.184210526315789,104.46863781074309
2020-12-10 02:43:25,,78.33333333333333,9.166666666666666,1.3963963963963963,2.0,,,4.928571428571429,2.3419913419913416,6.184210526315789,104.35116969327495
2020-12-10 02:43:26,,78.33333333333333,9.166666666666666,1.3963963963963963,2.0,,,4.928571428571429,2.3419913419913416,6.184210526315789,104.35116969327495
2020-12-10 02:43:27,3.0,78.33333333333333,9.166666666666666,1.3963963963963963,2.0,7.5,,4.928571428571429,2.3419913419913416,6.184210526315789,114.85116969327495
2020-12-10 02:43:28,3.0,78.33333333333333,9.166666666666666,1.3963963963963963,2.0,7.5,,4.928571428571429,2.3419913419913416,6.184210526315789,114.85116969327495
2020-12-10 02:43:29,3.0,78.33333333333333,9.166666666666666,1.3963963963963963,2.0,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,289.78303059553065
2020-12-10 02:43:30,3.0,78.33333333333333,9.166666666666666,1.3963963963963963,2.0,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,289.78303059553065
2020-12-10 02:43:31,3.0,78.33333333333333,9.166666666666666,1.3963963963963963,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,288.24456905706904
2020-12-10 02:43:32,3.0,78.33333333333333,9.166666666666666,1.360153256704981,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,288.20832591737764
2020-12-10 02:43:33,3.0,78.33333333333333,9.166666666666666,1.360153256704981,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,288.20832591737764
2020-12-10 02:43:34,3.0,78.33333333333333,9.166666666666666,1.360153256704981,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,288.20832591737764
2020-12-10 02:43:35,3.0,56.944444444444436,9.166666666666666,1.360153256704981,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,266.8194370284887
2020-12-10 02:43:36,3.0,56.944444444444436,9.166666666666666,1.360153256704981,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,266.8194370284887
2020-12-10 02:43:37,3.0,56.944444444444436,9.166666666666666,1.360153256704981,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,266.8194370284887
2020-12-10 02:43:38,3.0,56.944444444444436,9.166666666666666,1.360153256704981,0.4615384615384616,7.5,175.0,4.928571428571429,2.3419913419913416,6.116071428571429,266.8194370284887
2020-12-10 02:43:39,3.0,56.944444444444436,11.136363636363637,1.360153256704981,0.4615384615384616,7.5,175.0,4.916666666666666,2.3419913419913416,6.116071428571429,268.77722923628096
2020-12-10 02:43:40,3.0,56.944444444444436,11.136363636363637,1.360153256704981,0.4615384615384616,7.5,175.0,4.916666666666666,2.7723970944309926,6.116071428571429,269.2076349887206
2020-12-10 02:43:41,3.0,56.944444444444436,11.136363636363637,1.360153256704981,0.4615384615384616,7.5,175.0,4.916666666666666,2.7723970944309926,6.116071428571429,269.2076349887206
2020-12-10 02:43:42,3.0,56.944444444444436,11.136363636363637,1.360153256704981,0.4615384615384616,3.0,175.0,4.916666666666666,2.7723970944309926,6.116071428571429,264.7076349887206
2020-12-10 02:43:43,3.0,56.944444444444436,11.136363636363637,1.360153256704981,0.4615384615384616,3.0,175.0,4.916666666666666,2.7723970944309926,6.116071428571429,264.7076349887206
2020-12-10 02:43:44,3.0,56.944444444444436,11.136363636363637,1.360153256704981,0.4615384615384616,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,127.4839686234403
2020-12-10 02:43:45,3.0,56.944444444444436,11.136363636363637,1.360153256704981,0.4615384615384616,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,127.4839686234403
2020-12-10 02:43:46,3.0,56.944444444444436,11.136363636363637,1.360153256704981,1.6666666666666667,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,128.68909682856852
2020-12-10 02:43:47,3.0,56.944444444444436,11.136363636363637,1.8459869848156183,1.6666666666666667,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,129.17493055667916
2020-12-10 02:43:48,3.0,56.944444444444436,11.136363636363637,1.8459869848156183,1.6666666666666667,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,129.17493055667916
2020-12-10 02:43:49,3.0,56.944444444444436,11.136363636363637,1.8459869848156183,1.6666666666666667,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,129.17493055667916
2020-12-10 02:43:50,3.0,78.07692307692307,11.136363636363637,1.8459869848156183,1.6666666666666667,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,150.30740918915782
2020-12-10 02:43:51,3.0,78.07692307692307,11.136363636363637,1.8459869848156183,1.6666666666666667,3.0,37.5,4.916666666666666,2.7723970944309926,6.39240506329114,150.30740918915782
