Time,frontend,checkoutservice,emailservice,shippingservice,adservice,currencyservice,cartservice,productcatalogservice,paymentservice,recommendationservice,Total
2020-11-26 08:36:48,1925.3676470588239,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,12.625345298086426,20.87278106508876,3.1064706122713117,2.7894736842105257,26.47727272727273,2208.5031856848886
2020-11-26 08:36:49,1925.3676470588239,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,9.611167063633415,20.87278106508876,3.095081872883321,2.7894736842105257,24.070796460176986,2203.071142443952
2020-11-26 08:36:50,1925.3676470588239,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,9.611167063633415,20.87278106508876,3.095081872883321,2.7894736842105257,24.070796460176986,2203.071142443952
2020-11-26 08:36:51,1925.3676470588239,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,9.611167063633415,20.87278106508876,3.079015853590364,2.7894736842105257,24.070796460176986,2203.055076424659
2020-11-26 08:36:52,1808.2329317269073,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,9.611167063633415,20.87278106508876,3.079015853590364,2.7894736842105257,24.070796460176986,2085.9203610927425
2020-11-26 08:36:53,1808.2329317269073,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,9.611167063633415,20.87278106508876,3.0794456033021143,2.7894736842105257,24.070796460176986,2085.9207908424537
2020-11-26 08:36:54,1808.2329317269073,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,9.611167063633415,20.87278106508876,3.1410049662740804,2.7894736842105257,24.070796460176986,2085.982350205426
2020-11-26 08:36:55,1808.2329317269073,205.55555555555557,3.4444444444444438,2.75103734439834,5.513157894736841,9.611167063633415,23.73546511627907,3.1410049662740804,2.7894736842105257,24.070796460176986,2088.8450342566166
2020-11-26 08:36:56,1808.2329317269073,205.55555555555557,3.1052631578947367,2.75103734439834,5.513157894736841,9.611167063633415,23.73546511627907,3.126696420390313,2.7894736842105257,24.070796460176986,2088.4915444241833
2020-11-26 08:36:57,1808.2329317269073,205.55555555555557,3.1052631578947367,2.75103734439834,5.513157894736841,9.791007859739494,23.73546511627907,3.110241877052238,2.7894736842105257,24.070796460176986,2088.654930676951
2020-11-26 08:36:58,1808.2329317269073,205.55555555555557,3.1052631578947367,2.75103734439834,5.513157894736841,9.791007859739494,23.73546511627907,3.110241877052238,2.7894736842105257,24.070796460176986,2088.654930676951
2020-11-26 08:36:59,1808.2329317269073,205.55555555555557,3.1052631578947367,2.75103734439834,5.513157894736841,9.791007859739494,23.73546511627907,3.110241877052238,2.7894736842105257,24.070796460176986,2088.654930676951
2020-11-26 08:37:00,1808.2329317269073,322.9166666666667,3.1052631578947367,2.75103734439834,5.513157894736841,9.791007859739494,23.73546511627907,3.118677952760057,2.7894736842105257,24.070796460176986,2206.02447786377
2020-11-26 08:37:01,1808.2329317269073,322.9166666666667,3.1052631578947367,2.75103734439834,6.244292237442923,9.791007859739494,23.73546511627907,3.136769550153917,2.7894736842105257,26.535087719298247,2209.23799506299
2020-11-26 08:37:02,1808.2329317269073,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,9.791007859739494,23.73546511627907,3.1497579776674183,2.7894736842105257,26.535087719298247,2209.2745940334303
2020-11-26 08:37:03,1808.2329317269073,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,9.791007859739494,23.73546511627907,3.2020076896218668,2.9411764705882355,26.05421686746988,2208.9976756799333
2020-11-26 08:37:04,1808.2329317269073,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,11.404461944432475,23.73546511627907,3.23816240432961,2.9411764705882355,27.993697478991603,2212.5867650908567
2020-11-26 08:37:05,1808.2329317269073,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,11.404461944432475,23.73546511627907,3.23816240432961,2.9411764705882355,27.993697478991603,2212.5867650908567
2020-11-26 08:37:06,1808.2329317269073,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,11.404461944432475,23.73546511627907,3.2759957534049327,2.9411764705882355,27.993697478991603,2212.624598439932
2020-11-26 08:37:07,1778.5626535626534,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,11.404461944432475,23.73546511627907,3.2759957534049327,2.9411764705882355,27.993697478991603,2182.954320275678
2020-11-26 08:37:08,1778.5626535626534,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,11.404461944432475,23.73546511627907,3.271468202412493,2.9411764705882355,27.993697478991603,2182.9497927246853
2020-11-26 08:37:09,1778.5626535626534,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,11.404461944432475,23.73546511627907,3.235454742306114,2.9411764705882355,27.993697478991603,2182.9137792645793
2020-11-26 08:37:10,1778.5626535626534,322.9166666666667,3.1052631578947367,2.7746478873239435,6.244292237442923,11.404461944432475,22.721729490022174,3.235454742306114,2.9411764705882355,27.993697478991603,2181.900043638322
2020-11-26 08:37:11,1778.5626535626534,322.9166666666667,3.4,2.7746478873239435,6.244292237442923,11.404461944432475,22.721729490022174,3.2578849297587418,2.9411764705882355,27.993697478991603,2182.21721066788
2020-11-26 08:37:12,1778.5626535626534,322.9166666666667,3.4,2.7746478873239435,6.244292237442923,11.668920353092268,22.721729490022174,3.2728980468017985,2.9411764705882355,27.993697478991603,2182.4966821935827
2020-11-26 08:37:13,1778.5626535626534,322.9166666666667,3.4,2.7746478873239435,6.244292237442923,11.668920353092268,22.721729490022174,3.2728980468017985,2.9411764705882355,27.993697478991603,2182.4966821935827
2020-11-26 08:37:14,1778.5626535626534,322.9166666666667,3.4,2.7746478873239435,6.244292237442923,11.668920353092268,22.721729490022174,3.2728980468017985,2.9411764705882355,27.993697478991603,2182.4966821935827
2020-11-26 08:37:15,1778.5626535626534,241.66666666666663,3.4,2.7746478873239435,6.244292237442923,11.668920353092268,22.721729490022174,3.2588231069287232,2.9411764705882355,27.993697478991603,2101.2326072537107
2020-11-26 08:37:16,1778.5626535626534,241.66666666666663,3.4,2.7746478873239435,7.351063829787236,11.668920353092268,22.721729490022174,3.288914665245432,2.9411764705882355,26.34460810208923,2100.7203810274686
2020-11-26 08:37:17,1778.5626535626534,241.66666666666663,3.4,3.432835820895522,7.351063829787236,11.668920353092268,22.721729490022174,3.3248008690201627,2.9411764705882355,26.34460810208923,2101.414455164815
2020-11-26 08:37:18,1778.5626535626534,241.66666666666663,3.4,3.432835820895522,7.351063829787236,11.668920353092268,22.721729490022174,3.311235009896539,2.6470588235294112,28.16458063948123,2102.9267441960246
