Time,frontend,shippingservice,productcatalogservice,adservice,checkoutservice,currencyservice,cartservice,emailservice,paymentservice,recommendationservice,Total
2020-11-28 07:50:21,76.66666666666666,,3.0,7.5,100.0,2.8347107438016534,6.527777777777778,3.0,0.25,15.0,214.77915518824608
2020-11-28 07:50:22,76.66666666666666,,3.0,7.5,100.0,2.8347107438016534,6.527777777777778,3.0,0.25,15.0,214.77915518824608
2020-11-28 07:50:23,76.66666666666666,,3.0,7.5,100.0,2.8347107438016534,6.527777777777778,3.0,0.25,15.0,214.77915518824608
2020-11-28 07:50:24,76.66666666666666,2.0769230769230766,3.0,7.5,100.0,2.8181818181818183,6.527777777777778,3.0,0.25,15.0,216.8395493395493
2020-11-28 07:50:25,76.66666666666666,2.0769230769230766,2.3520000000000003,7.5,100.0,2.8181818181818183,6.527777777777778,3.0,3.0,15.0,218.94154933954928
2020-11-28 07:50:26,76.66666666666666,2.0769230769230766,2.3520000000000003,7.5,100.0,2.8181818181818183,6.594827586206896,3.0,3.0,15.0,219.00859914797843
2020-11-28 07:50:27,76.66666666666666,2.0769230769230766,2.3520000000000003,7.5,100.0,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,217.31742267739017
2020-11-28 07:50:28,76.66666666666666,2.0769230769230766,2.3520000000000003,7.5,100.0,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,217.31742267739017
2020-11-28 07:50:29,72.82608695652175,2.0769230769230766,2.3520000000000003,7.5,100.0,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,213.4768429672453
2020-11-28 07:50:30,72.82608695652175,2.0769230769230766,2.3520000000000003,7.5,100.0,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,213.4768429672453
2020-11-28 07:50:31,72.82608695652175,2.0769230769230766,2.3520000000000003,7.5,100.0,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,213.4768429672453
2020-11-28 07:50:32,72.82608695652175,2.0769230769230766,2.3520000000000003,7.5,137.5,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,250.9768429672453
2020-11-28 07:50:33,72.82608695652175,2.0769230769230766,2.3520000000000003,7.5,137.5,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,250.9768429672453
2020-11-28 07:50:34,72.82608695652175,2.0769230769230766,2.3520000000000003,7.5,137.5,2.8181818181818183,6.594827586206896,3.0,3.0,13.308823529411766,250.9768429672453
2020-11-28 07:50:35,72.82608695652175,2.0769230769230766,2.3520000000000003,7.5,137.5,2.8181818181818183,6.594827586206896,4.0,3.0,13.308823529411766,251.9768429672453
2020-11-28 07:50:36,72.82608695652175,2.0769230769230766,2.3520000000000003,6.9767441860465125,137.5,2.8181818181818183,6.594827586206896,4.0,3.0,13.308823529411766,251.4535871532918
2020-11-28 07:50:37,72.82608695652175,2.0769230769230766,2.3520000000000003,6.9767441860465125,137.5,2.8181818181818183,6.594827586206896,4.0,3.0,13.308823529411766,251.4535871532918
2020-11-28 07:50:38,72.82608695652175,2.0769230769230766,2.3520000000000003,6.9767441860465125,137.5,2.8181818181818183,6.594827586206896,4.0,3.0,13.308823529411766,251.4535871532918
2020-11-28 07:50:39,72.82608695652175,2.333333333333333,2.3520000000000003,6.9767441860465125,137.5,2.7671957671957674,6.594827586206896,4.0,3.0,13.308823529411766,251.65901135871601
2020-11-28 07:50:40,72.82608695652175,2.333333333333333,2.76,6.9767441860465125,137.5,2.7671957671957674,6.594827586206896,4.0,2.6,13.308823529411766,251.66701135871602
2020-11-28 07:50:41,72.82608695652175,2.333333333333333,2.76,6.9767441860465125,137.5,2.7671957671957674,6.978021978021977,4.0,2.6,13.308823529411766,252.0502057505311
2020-11-28 07:50:42,72.82608695652175,2.333333333333333,2.76,6.9767441860465125,137.5,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,252.77984375958087
2020-11-28 07:50:43,72.82608695652175,2.333333333333333,2.76,6.9767441860465125,137.5,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,252.77984375958087
2020-11-28 07:50:44,90.09433962264151,2.333333333333333,2.76,6.9767441860465125,137.5,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,270.0480964257007
2020-11-28 07:50:45,90.09433962264151,2.333333333333333,2.76,6.9767441860465125,137.5,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,270.0480964257007
2020-11-28 07:50:46,90.09433962264151,2.333333333333333,2.76,6.9767441860465125,137.5,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,270.0480964257007
2020-11-28 07:50:47,90.09433962264151,2.333333333333333,2.76,6.9767441860465125,190.0,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,322.5480964257007
2020-11-28 07:50:48,90.09433962264151,2.333333333333333,2.76,6.9767441860465125,190.0,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,322.5480964257007
2020-11-28 07:50:49,90.09433962264151,2.333333333333333,2.76,6.9767441860465125,190.0,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,322.5480964257007
2020-11-28 07:50:50,90.09433962264151,2.333333333333333,2.76,6.9767441860465125,190.0,2.7671957671957674,6.978021978021977,4.0,2.6,14.038461538461537,322.5480964257007
