Time,productcatalogservice,checkoutservice,recommendationservice,adservice,cartservice,paymentservice,shippingservice,frontend,currencyservice,emailservice,Total
2020-12-19 07:59:21,3.0,,8.333333333333332,17.5,7.5,,3.0,91.66666666666669,3.0,,134.0
2020-12-19 07:59:22,3.0,,8.333333333333332,17.5,7.5,,3.0,91.66666666666669,3.0,,134.0
2020-12-19 07:59:23,3.0,,8.333333333333332,17.5,7.5,,3.0,91.66666666666669,3.25,,134.25
2020-12-19 07:59:24,3.0,,8.333333333333332,17.5,4.333333333333333,,3.0,91.66666666666669,3.25,,131.08333333333331
2020-12-19 07:59:25,3.0,,8.333333333333332,17.5,4.333333333333333,,3.0,91.66666666666669,3.25,,131.08333333333331
2020-12-19 07:59:26,3.0,,8.333333333333332,17.5,4.333333333333333,,3.0,91.66666666666669,3.25,,131.08333333333331
2020-12-19 07:59:27,3.0,,8.333333333333332,17.5,4.333333333333333,,3.0,75.0,3.25,,114.41666666666666
2020-12-19 07:59:28,3.0,,8.333333333333332,17.5,4.333333333333333,,3.0,75.0,3.25,,114.41666666666666
2020-12-19 07:59:29,3.0,,8.333333333333332,17.5,4.333333333333333,,3.0,75.0,3.25,,114.41666666666666
2020-12-19 07:59:30,3.0,,8.333333333333332,17.5,4.333333333333333,,,75.0,3.25,,111.41666666666666
2020-12-19 07:59:31,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.25,,100.58333333333331
2020-12-19 07:59:32,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.25,,100.58333333333331
2020-12-19 07:59:33,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.25,,100.58333333333331
2020-12-19 07:59:34,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.25,,100.58333333333331
2020-12-19 07:59:35,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.25,,100.58333333333331
2020-12-19 07:59:36,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.25,,100.58333333333331
2020-12-19 07:59:37,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.25,,100.58333333333331
2020-12-19 07:59:38,3.0,,7.5,7.5,4.333333333333333,,,75.0,3.5,,100.83333333333331
2020-12-19 07:59:39,3.0,,7.5,7.5,5.0,,,75.0,3.5,,101.5
2020-12-19 07:59:40,3.1538461538461537,,7.5,7.5,5.0,,,75.0,3.5,,101.65384615384615
2020-12-19 07:59:41,3.1538461538461537,,7.5,7.5,5.0,,,75.0,3.5,,101.65384615384615
2020-12-19 07:59:42,3.1538461538461537,,7.5,7.5,5.0,,,100.0,3.5,,126.65384615384615
2020-12-19 07:59:43,3.1538461538461537,,7.5,7.5,5.0,,,100.0,3.5,,126.65384615384615
2020-12-19 07:59:44,3.1538461538461537,,7.5,7.5,5.0,,,100.0,3.5,,126.65384615384615
2020-12-19 07:59:45,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:46,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:47,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:48,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:49,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:50,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:51,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:52,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.5,,129.65384615384616
2020-12-19 07:59:53,3.1538461538461537,,7.5,7.5,5.0,,3.0,100.0,3.0,,129.15384615384616
2020-12-19 07:59:54,3.1538461538461537,,7.5,7.5,7.5,,3.0,100.0,3.0,,131.65384615384616
2020-12-19 07:59:55,0.4,,7.5,7.5,7.5,,3.0,100.0,3.0,,128.9
2020-12-19 07:59:56,0.4,,7.5,7.5,7.5,,3.0,100.0,3.0,,128.9
2020-12-19 07:59:57,0.4,,7.5,7.5,7.5,,3.0,75.0,3.0,,103.9
2020-12-19 07:59:58,0.4,,7.5,7.5,7.5,,3.0,75.0,3.0,,103.9
2020-12-19 07:59:59,0.4,,7.5,7.5,7.5,,3.0,75.0,3.0,,103.9
2020-12-19 08:00:00,0.4,,7.5,7.5,7.5,,,75.0,3.0,,100.9
2020-12-19 08:00:01,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:02,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:03,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:04,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:05,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:06,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:07,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:08,0.4,,10.0,13.75,7.5,,,75.0,3.0,,109.65
2020-12-19 08:00:09,0.4,,10.0,13.75,5.0,,,75.0,3.0,,107.15
2020-12-19 08:00:10,2.8571428571428568,,10.0,13.75,5.0,,,75.0,3.0,,109.60714285714286
2020-12-19 08:00:11,2.8571428571428568,,10.0,13.75,5.0,,,75.0,3.0,,109.60714285714286
2020-12-19 08:00:12,2.8571428571428568,,10.0,13.75,5.0,,,175.0,3.0,,209.60714285714286
2020-12-19 08:00:13,2.8571428571428568,,10.0,13.75,5.0,,,175.0,3.0,,209.60714285714286
2020-12-19 08:00:14,2.8571428571428568,,10.0,13.75,5.0,,,175.0,3.0,,209.60714285714286
2020-12-19 08:00:15,2.8571428571428568,,10.0,13.75,5.0,,,175.0,3.0,,209.60714285714286
2020-12-19 08:00:16,2.8571428571428568,,8.75,6.25,5.0,,,175.0,3.0,,200.85714285714286
2020-12-19 08:00:17,2.8571428571428568,,8.75,6.25,5.0,,,175.0,3.0,,200.85714285714286
2020-12-19 08:00:18,2.8571428571428568,,8.75,6.25,5.0,,,175.0,3.0,,200.85714285714286
2020-12-19 08:00:19,2.8571428571428568,,8.75,6.25,5.0,,,175.0,3.0,,200.85714285714286
2020-12-19 08:00:20,2.8571428571428568,,8.75,6.25,5.0,,,175.0,3.0,,200.85714285714286
2020-12-19 08:00:21,2.8571428571428568,,8.75,6.25,5.0,,,175.0,3.0,,200.85714285714286
2020-12-19 08:00:22,2.8571428571428568,,8.75,6.25,5.0,,,175.0,3.0,,200.85714285714286
2020-12-19 08:00:23,2.8571428571428568,,8.75,6.25,5.0,,,175.0,2.2,,200.05714285714282
2020-12-19 08:00:24,2.8571428571428568,,8.75,6.25,8.333333333333334,,,175.0,2.2,,203.3904761904762
2020-12-19 08:00:25,3.0,,8.75,6.25,8.333333333333334,,,175.0,2.2,,203.53333333333333
2020-12-19 08:00:26,3.0,,8.75,6.25,8.333333333333334,,,175.0,2.2,,203.53333333333333
2020-12-19 08:00:27,3.0,,8.75,6.25,8.333333333333334,,,87.5,2.2,,116.03333333333332
2020-12-19 08:00:28,3.0,,8.75,6.25,8.333333333333334,,,87.5,2.2,,116.03333333333332
2020-12-19 08:00:29,3.0,,8.75,6.25,8.333333333333334,,,87.5,2.2,,116.03333333333332
