Time,emailservice,paymentservice,shippingservice,cartservice,checkoutservice,adservice,frontend,currencyservice,recommendationservice,productcatalogservice,Total
2020-11-28 01:52:51,3.0,2.5,0.3897058823529412,6.807692307692308,81.25,2.1958762886597936,76.48375627893367,2.4771949732296807,8.940677966101696,1.4497307444160967,185.4946344413861
2020-11-28 01:52:52,3.0,2.5,0.3897058823529412,6.807692307692308,81.25,2.1958762886597936,76.48375627893367,2.4602698388611906,8.767605633802816,1.4497307444160967,185.30463697471882
2020-11-28 01:52:53,3.0,2.5,1.0487804878048779,6.807692307692308,81.25,2.225,76.48375627893367,2.4895549584400696,8.767605633802816,1.4497307444160967,186.02212041108987
2020-11-28 01:52:54,3.0,2.5,1.0487804878048779,6.807692307692308,81.25,2.225,76.48375627893367,2.4895549584400696,8.767605633802816,1.4497307444160967,186.02212041108987
2020-11-28 01:52:55,3.0,2.5,1.0487804878048779,6.807692307692308,81.25,2.225,82.3328392467466,2.510481786643446,8.767605633802816,1.4038888936678844,191.84628835635795
2020-11-28 01:52:56,3.0,1.4999999999999998,1.0487804878048779,6.807692307692308,81.25,2.225,82.3328392467466,2.512522533084116,8.767605633802816,1.3857884083885688,190.8302286175193
2020-11-28 01:52:57,3.0,1.4999999999999998,1.0487804878048779,4.6746987951807215,81.25,2.225,82.3328392467466,2.514425414121765,8.767605633802816,1.3857884083885688,188.69913798604537
2020-11-28 01:52:58,3.0,1.4999999999999998,1.0487804878048779,4.6746987951807215,81.25,2.225,82.56531840221133,2.514425414121765,8.767605633802816,1.3857884083885688,188.9316171415101
2020-11-28 01:52:59,3.0,1.4999999999999998,1.0487804878048779,4.6746987951807215,81.25,2.225,82.56531840221133,2.5265426777363253,8.767605633802816,1.3048189421025311,188.86276493883858
2020-11-28 01:53:00,3.0,1.4999999999999998,1.0487804878048779,4.6746987951807215,81.25,2.225,72.41275159674359,2.5265426777363253,8.767605633802816,1.3194872844529744,178.7248664757213
2020-11-28 01:53:01,3.0,1.4999999999999998,1.0487804878048779,4.6746987951807215,81.25,2.225,71.83804862831644,2.5010455312330846,8.767605633802816,1.260085601861492,178.0652646781994
2020-11-28 01:53:02,3.0,1.4999999999999998,1.0487804878048779,4.6746987951807215,81.25,2.225,71.83804862831644,2.474564644891469,8.767605633802816,1.260085601861492,178.03878379185784
2020-11-28 01:53:03,3.0,1.4999999999999998,1.0487804878048779,4.6746987951807215,65.0,2.225,71.83804862831644,2.474564644891469,8.767605633802816,1.1875117680785447,161.71620995807493
