Time,currencyservice,shippingservice,frontend,emailservice,adservice,cartservice,productcatalogservice,checkoutservice,paymentservice,recommendationservice,Total
2020-12-15 19:40:21,3.461538461538461,0.375,87.5,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,111.96653846153845
2020-12-15 19:40:22,3.461538461538461,,87.5,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,111.59153846153845
2020-12-15 19:40:23,3.461538461538461,,87.5,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,111.59153846153845
2020-12-15 19:40:24,3.461538461538461,,75.0,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,99.09153846153845
2020-12-15 19:40:25,3.461538461538461,,75.0,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,99.09153846153845
2020-12-15 19:40:26,3.461538461538461,,75.0,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,99.09153846153845
2020-12-15 19:40:27,3.461538461538461,,75.0,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,99.09153846153845
2020-12-15 19:40:28,3.461538461538461,,75.0,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,99.09153846153845
2020-12-15 19:40:29,3.461538461538461,,75.0,,4.333333333333333,6.666666666666666,0.3800000000000001,,3.0,6.25,99.09153846153845
2020-12-15 19:40:30,3.461538461538461,,75.0,,5.0,6.666666666666666,0.3800000000000001,,,10.0,100.50820512820513
2020-12-15 19:40:31,3.461538461538461,,75.0,,5.0,6.666666666666666,0.3800000000000001,,,10.0,100.50820512820513
2020-12-15 19:40:32,3.461538461538461,,75.0,,5.0,6.666666666666666,1.8888888888888888,,,10.0,102.01709401709402
2020-12-15 19:40:33,3.461538461538461,,75.0,,5.0,6.666666666666666,1.8888888888888888,,,10.0,102.01709401709402
2020-12-15 19:40:34,3.461538461538461,,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.85042735042737
2020-12-15 19:40:35,3.0,,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.38888888888887
2020-12-15 19:40:36,3.0,,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.38888888888887
2020-12-15 19:40:37,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:38,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:39,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:40,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:41,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:42,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:43,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:44,3.0,0.5,75.0,,5.0,7.5,1.8888888888888888,,,10.0,102.88888888888887
2020-12-15 19:40:45,3.0,0.5,75.0,,10.0,7.5,1.8888888888888888,,3.0,6.875,107.76388888888887
2020-12-15 19:40:46,3.0,0.5,75.0,,10.0,7.5,1.8888888888888888,,3.0,6.875,107.76388888888887
2020-12-15 19:40:47,3.0,0.5,75.0,,10.0,7.5,2.6875000000000004,,3.0,6.875,108.5625
2020-12-15 19:40:48,3.0,0.5,75.0,3.0,10.0,7.5,2.6875000000000004,,3.0,6.875,111.5625
2020-12-15 19:40:49,3.0,0.5,75.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,286.2053571428571
2020-12-15 19:40:50,3.0,0.5,75.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,286.2053571428571
2020-12-15 19:40:51,3.0,0.5,75.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,286.2053571428571
2020-12-15 19:40:52,3.0,3.0,75.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,288.7053571428571
2020-12-15 19:40:53,3.0,3.0,75.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,288.7053571428571
2020-12-15 19:40:54,3.0,3.0,70.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,283.7053571428571
2020-12-15 19:40:55,3.0,3.0,70.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,283.7053571428571
2020-12-15 19:40:56,3.0,3.0,70.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,283.7053571428571
2020-12-15 19:40:57,3.0,3.0,70.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,283.7053571428571
2020-12-15 19:40:58,3.0,3.0,70.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,283.7053571428571
2020-12-15 19:40:59,3.0,3.0,70.0,3.0,10.0,7.142857142857142,2.6875000000000004,175.0,3.0,6.875,283.7053571428571
2020-12-15 19:41:00,3.0,3.0,70.0,3.0,7.5,7.142857142857142,2.6875000000000004,175.0,,17.5,288.8303571428571
2020-12-15 19:41:01,3.0,3.0,70.0,3.0,7.5,7.142857142857142,2.6875000000000004,175.0,,17.5,288.8303571428571
2020-12-15 19:41:02,3.0,3.0,70.0,3.0,7.5,7.142857142857142,3.1428571428571432,175.0,,17.5,289.2857142857143
