Time,adservice,recommendationservice,paymentservice,currencyservice,productcatalogservice,checkoutservice,frontend,emailservice,shippingservice,cartservice,Total
2020-11-26 21:11:48,6.8604651162790695,12.946428571428573,3.0,2.650655021834061,2.6998556998557,185.7142857142857,98.07692307692308,4.2,2.5675675675675675,6.556122448979592,325.2723032171533
2020-11-26 21:11:49,6.8604651162790695,12.946428571428573,3.0,2.650655021834061,2.6998556998557,185.7142857142857,98.07692307692308,4.2,2.5675675675675675,6.556122448979592,325.2723032171533
2020-11-26 21:11:50,6.875,12.946428571428573,2.666666666666667,2.650655021834061,2.6998556998557,185.7142857142857,98.07692307692308,4.2,2.5675675675675675,6.556122448979592,324.9535047675409
2020-11-26 21:11:51,6.875,12.946428571428573,2.666666666666667,2.650655021834061,2.6998556998557,185.7142857142857,98.07692307692308,4.2,2.5675675675675675,6.556122448979592,324.9535047675409
2020-11-26 21:11:52,6.875,12.946428571428573,2.666666666666667,2.650655021834061,2.6998556998557,185.7142857142857,98.07692307692308,4.2,2.5675675675675675,6.556122448979592,324.9535047675409
2020-11-26 21:11:53,6.875,12.946428571428573,2.666666666666667,2.650655021834061,2.6998556998557,185.7142857142857,98.07692307692308,4.2,2.8222222222222215,6.556122448979592,325.20815942219554
2020-11-26 21:11:54,6.875,12.946428571428573,2.666666666666667,2.650655021834061,2.6998556998557,150.0,98.07692307692308,4.2,2.8222222222222215,6.556122448979592,289.4938737079098
2020-11-26 21:11:55,6.875,12.173913043478262,2.666666666666667,2.650655021834061,2.6998556998557,150.0,98.07692307692308,3.4444444444444438,2.8222222222222215,6.556122448979592,287.965802624404
2020-11-26 21:11:56,6.875,12.173913043478262,2.666666666666667,2.650655021834061,2.6998556998557,150.0,98.07692307692308,3.4444444444444438,2.8222222222222215,6.556122448979592,287.965802624404
2020-11-26 21:11:57,6.875,12.173913043478262,2.666666666666667,2.650655021834061,2.6998556998557,150.0,98.07692307692308,3.4444444444444438,2.8222222222222215,6.556122448979592,287.965802624404
2020-11-26 21:11:58,6.875,12.173913043478262,2.666666666666667,2.650655021834061,2.6998556998557,150.0,98.07692307692308,3.4444444444444438,2.8222222222222215,6.556122448979592,287.965802624404
2020-11-26 21:11:59,6.875,12.173913043478262,2.666666666666667,2.650655021834061,2.6998556998557,150.0,98.07692307692308,3.4444444444444438,2.8222222222222215,6.556122448979592,287.965802624404
2020-11-26 21:12:00,6.875,12.173913043478262,2.666666666666667,2.650655021834061,2.6998556998557,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.556122448979592,299.1481388067401
2020-11-26 21:12:01,6.875,12.173913043478262,2.666666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.556122448979592,299.42830995736483
2020-11-26 21:12:02,6.875,12.173913043478262,2.666666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.205357142857142,299.07754465124236
2020-11-26 21:12:03,6.875,12.173913043478262,2.666666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.205357142857142,299.07754465124236
2020-11-26 21:12:04,6.875,12.173913043478262,2.666666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.205357142857142,299.07754465124236
2020-11-26 21:12:05,6.369047619047617,12.173913043478262,3.166666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.205357142857142,299.07159227029007
2020-11-26 21:12:06,6.369047619047617,12.173913043478262,3.166666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.205357142857142,299.07159227029007
2020-11-26 21:12:07,6.369047619047617,12.173913043478262,3.166666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.8222222222222215,6.205357142857142,299.07159227029007
2020-11-26 21:12:08,6.369047619047617,12.173913043478262,3.166666666666667,2.7436762225969646,2.8870056497175147,150.0,109.25925925925924,3.4444444444444438,2.333333333333333,6.205357142857142,298.5827033814012
2020-11-26 21:12:09,6.369047619047617,12.173913043478262,3.166666666666667,2.7436762225969646,2.8870056497175147,175.0,109.25925925925924,3.4444444444444438,2.333333333333333,6.205357142857142,323.5827033814012
2020-11-26 21:12:10,6.369047619047617,12.706185567010307,3.166666666666667,2.7436762225969646,2.8870056497175147,175.0,109.25925925925924,3.0,2.333333333333333,6.205357142857142,323.6705314604888
2020-11-26 21:12:11,6.369047619047617,12.706185567010307,3.166666666666667,2.7436762225969646,2.8870056497175147,175.0,109.25925925925924,3.0,2.333333333333333,6.205357142857142,323.6705314604888
2020-11-26 21:12:12,6.369047619047617,12.706185567010307,3.166666666666667,2.7436762225969646,2.8870056497175147,175.0,109.25925925925924,3.0,2.333333333333333,6.205357142857142,323.6705314604888
2020-11-26 21:12:13,6.369047619047617,12.706185567010307,3.166666666666667,2.7436762225969646,2.8870056497175147,175.0,109.25925925925924,3.0,2.333333333333333,6.205357142857142,323.6705314604888
2020-11-26 21:12:14,6.369047619047617,12.706185567010307,3.166666666666667,2.7436762225969646,2.8870056497175147,175.0,109.25925925925924,3.0,2.333333333333333,6.205357142857142,323.6705314604888
2020-11-26 21:12:15,6.369047619047617,12.706185567010307,3.166666666666667,2.7436762225969646,2.8870056497175147,175.0,105.7692307692308,3.0,2.333333333333333,6.205357142857142,320.18050297046034
