Time,shippingservice,currencyservice,productcatalogservice,checkoutservice,emailservice,adservice,cartservice,paymentservice,recommendationservice,frontend,Total
2020-12-13 19:02:23,1.46875,2.3940827751387848,0.4686716459928464,90.0,3.0,2.6933333333333334,3.9189189189189193,2.2,9.217171717171716,79.56538645216459,194.9263148427203
2020-12-13 19:02:24,1.46875,2.3703749811377604,0.4572646467805371,90.0,3.0,2.6933333333333334,3.9189189189189193,2.2,9.217171717171716,79.56538645216459,194.89120004950686
2020-12-13 19:02:25,1.46875,2.3696466132044085,0.4577825827393702,90.0,3.0,2.6933333333333334,3.9189189189189193,2.2,9.217171717171716,79.56538645216459,194.89098961753243
2020-12-13 19:02:26,1.46875,2.341327748776896,0.4563340768967168,90.0,3.0,2.6933333333333334,3.9189189189189193,2.2,9.217171717171716,79.42501493643354,194.7208507315311
2020-12-13 19:02:27,1.46875,2.341327748776896,0.4563340768967168,90.0,3.0,2.6933333333333334,3.9189189189189193,2.2,9.217171717171716,79.42501493643354,194.7208507315311
2020-12-13 19:02:28,1.46875,2.3204859859824523,0.4479691430517497,90.0,3.0,2.6933333333333334,3.9189189189189193,2.2,9.217171717171716,78.98258745696144,194.24921655541957
2020-12-13 19:02:29,1.46875,2.3204859859824523,0.4509446067659421,90.0,3.0,2.6933333333333334,4.1773584905660375,2.2,9.217171717171716,78.98258745696144,194.51063159078086
2020-12-13 19:02:30,1.46875,2.3084639057177703,0.4485326222559744,60.00000000000001,3.0,2.6933333333333334,4.1773584905660375,1.5999999999999996,9.217171717171716,78.98258745696144,163.89619752600623
2020-12-13 19:02:31,1.46875,2.3007568585112,0.4462939803653257,60.00000000000001,3.0,2.6933333333333334,4.1773584905660375,1.5999999999999996,9.217171717171716,79.38623478904597,164.28989916899357
2020-12-13 19:02:32,1.46875,2.3020334560002147,0.44838426176554536,60.00000000000001,3.0,2.6933333333333334,4.1773584905660375,1.5999999999999996,9.217171717171716,79.38623478904597,164.2932660478828
2020-12-13 19:02:33,1.46875,2.3103440514917657,0.4460809334740556,60.00000000000001,3.0,2.6933333333333334,4.1773584905660375,1.5999999999999996,9.217171717171716,79.64628074705341,164.5593192730903
2020-12-13 19:02:34,1.46875,2.3103440514917657,0.4435184424523214,60.00000000000001,3.0,2.6933333333333334,4.1773584905660375,1.5999999999999996,9.217171717171716,80.85802435810078,165.76850039311597
2020-12-13 19:02:35,1.46875,2.3103440514917657,0.4435184424523214,60.00000000000001,3.0,2.6933333333333334,4.1773584905660375,1.5999999999999996,9.217171717171716,80.85802435810078,165.76850039311597
2020-12-13 19:02:36,1.46875,2.3067901315852803,0.4435184424523214,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,80.85802435810078,165.2892649924201
2020-12-13 19:02:37,1.46875,2.3067901315852803,0.4435184424523214,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,80.85802435810078,165.2892649924201
2020-12-13 19:02:38,0.4912280701754386,2.306003552725432,0.4494355726202364,60.00000000000001,3.0,2.2086330935251803,4.1773584905660375,1.5999999999999996,9.226190476190474,79.52392002231966,162.98276927812248
