Time,paymentservice,adservice,emailservice,productcatalogservice,shippingservice,frontend,currencyservice,cartservice,recommendationservice,checkoutservice,Total
2020-12-18 07:58:21,,7.5,,1.8888888888888888,3.0,,3.0,7.5,17.5,,40.388888888888886
2020-12-18 07:58:22,,7.5,,1.8888888888888888,3.0,100.0,3.0,7.5,17.5,,140.38888888888889
2020-12-18 07:58:23,,7.5,,1.8888888888888888,3.0,100.0,3.0,7.5,17.5,,140.38888888888889
2020-12-18 07:58:24,,7.5,,1.8888888888888888,3.0,100.0,3.0,7.5,17.5,,140.38888888888889
2020-12-18 07:58:25,,7.5,,1.8888888888888888,3.0,100.0,3.0,7.5,17.5,,140.38888888888889
2020-12-18 07:58:26,,7.5,,3.2857142857142856,3.0,100.0,3.0,7.5,17.5,,141.78571428571428
2020-12-18 07:58:27,,7.5,,3.2857142857142856,3.0,100.0,3.0,7.5,17.5,,141.78571428571428
2020-12-18 07:58:28,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:29,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:30,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:31,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:32,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:33,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:34,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:35,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:36,,7.5,,3.2857142857142856,,100.0,3.0,7.5,17.5,,138.78571428571428
2020-12-18 07:58:37,,7.5,,3.2857142857142856,,75.0,3.0,7.5,17.5,,113.78571428571428
2020-12-18 07:58:38,,7.5,,3.2857142857142856,,75.0,3.0,7.5,17.5,,113.78571428571428
2020-12-18 07:58:39,,7.5,,3.2857142857142856,,75.0,3.0,7.5,17.5,,113.78571428571428
2020-12-18 07:58:40,,7.5,,3.2857142857142856,,75.0,3.0,7.5,17.5,,113.78571428571428
2020-12-18 07:58:41,,7.5,,2.2,,75.0,3.0,7.5,17.5,,112.7
2020-12-18 07:58:42,,7.5,,2.2,,75.0,3.0,7.5,17.5,,112.7
2020-12-18 07:58:43,,7.5,,2.2,,75.0,3.0,7.5,17.5,,112.7
2020-12-18 07:58:44,,7.5,,2.2,,75.0,3.0,7.5,17.5,,112.7
2020-12-18 07:58:45,,7.5,,2.2,,75.0,3.0,5.0,25.0,,117.7
2020-12-18 07:58:46,,7.5,,2.2,,75.0,3.0,5.0,25.0,,117.7
2020-12-18 07:58:47,,7.5,,2.2,,75.0,3.0,5.0,25.0,,117.7
2020-12-18 07:58:48,,7.5,,2.2,,75.0,3.0,5.0,25.0,,117.7
2020-12-18 07:58:49,,7.5,,2.2,,75.0,3.0,5.0,25.0,,117.7
2020-12-18 07:58:50,,7.5,,2.2,,75.0,3.0,5.0,25.0,,117.7
2020-12-18 07:58:51,,7.5,,2.2,,75.0,3.0,5.0,25.0,,117.7
2020-12-18 07:58:52,,7.5,,2.2,,87.5,3.0,5.0,25.0,,130.2
2020-12-18 07:58:53,,7.5,,2.2,,87.5,3.0,5.0,25.0,,130.2
2020-12-18 07:58:54,,7.5,,2.2,,87.5,3.0,5.0,25.0,,130.2
2020-12-18 07:58:55,,7.5,,2.2,,87.5,3.0,5.0,25.0,,130.2
2020-12-18 07:58:56,,7.5,,2.466666666666667,,87.5,3.0,5.0,25.0,,130.46666666666667
2020-12-18 07:58:57,,7.5,,2.466666666666667,,87.5,3.0,5.0,25.0,,130.46666666666667
2020-12-18 07:58:58,,7.5,,2.466666666666667,,87.5,3.4000000000000004,5.0,25.0,,130.86666666666667
2020-12-18 07:58:59,,7.5,,2.466666666666667,,87.5,3.4000000000000004,5.0,25.0,,130.86666666666667
2020-12-18 07:59:00,,7.5,,2.466666666666667,,87.5,3.4000000000000004,6.25,7.5,,114.61666666666667
2020-12-18 07:59:01,,7.5,,2.466666666666667,,87.5,3.4000000000000004,6.25,7.5,,114.61666666666667
2020-12-18 07:59:02,,7.5,,2.466666666666667,,87.5,3.4000000000000004,6.25,7.5,,114.61666666666667
2020-12-18 07:59:03,,7.5,,2.466666666666667,,87.5,3.4000000000000004,6.25,7.5,,114.61666666666667
2020-12-18 07:59:04,,7.5,,2.466666666666667,,87.5,3.4000000000000004,6.25,7.5,,114.61666666666667
2020-12-18 07:59:05,,7.5,,2.466666666666667,,87.5,3.4000000000000004,6.25,7.5,,114.61666666666667
2020-12-18 07:59:06,,7.5,,2.466666666666667,,87.5,3.4000000000000004,6.25,7.5,,114.61666666666667
2020-12-18 07:59:07,,7.5,,2.466666666666667,,66.66666666666666,3.4000000000000004,6.25,7.5,,93.78333333333332
2020-12-18 07:59:08,,7.5,,2.466666666666667,,66.66666666666666,3.4000000000000004,6.25,7.5,,93.78333333333332
2020-12-18 07:59:09,,7.5,,2.466666666666667,,66.66666666666666,3.4000000000000004,6.25,7.5,,93.78333333333332
2020-12-18 07:59:10,,7.5,,2.466666666666667,,66.66666666666666,3.4000000000000004,6.25,7.5,,93.78333333333332
2020-12-18 07:59:11,,7.5,,3.0,,66.66666666666666,3.4000000000000004,6.25,7.5,,94.31666666666666
2020-12-18 07:59:12,,7.5,,3.0,,66.66666666666666,3.4000000000000004,6.25,7.5,,94.31666666666666
2020-12-18 07:59:13,,7.5,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,94.01190476190477
2020-12-18 07:59:14,,7.5,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,94.01190476190477
2020-12-18 07:59:15,,7.5,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,94.01190476190477
2020-12-18 07:59:16,,7.5,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,94.01190476190477
2020-12-18 07:59:17,,7.5,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,94.01190476190477
2020-12-18 07:59:18,,7.5,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,94.01190476190477
2020-12-18 07:59:19,,5.0,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,91.51190476190477
2020-12-18 07:59:20,,5.0,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,91.51190476190477
2020-12-18 07:59:21,,5.0,,3.0,,66.66666666666666,3.095238095238096,6.25,7.5,,91.51190476190477
2020-12-18 07:59:22,,5.0,,3.0,,75.0,3.095238095238096,6.25,7.5,,99.84523809523809
2020-12-18 07:59:23,,5.0,,3.0,,75.0,3.095238095238096,6.25,7.5,,99.84523809523809
2020-12-18 07:59:24,,5.0,,3.0,,75.0,3.095238095238096,6.25,7.5,,99.84523809523809
2020-12-18 07:59:25,,5.0,,3.0,,75.0,3.095238095238096,6.25,7.5,,99.84523809523809
2020-12-18 07:59:26,,5.0,,3.1333333333333333,,75.0,3.095238095238096,6.25,7.5,,99.97857142857143
2020-12-18 07:59:27,,5.0,,3.1333333333333333,,75.0,3.095238095238096,6.25,7.5,,99.97857142857143
2020-12-18 07:59:28,,5.0,,3.1333333333333333,,75.0,3.0,6.25,7.5,,99.88333333333333
2020-12-18 07:59:29,,5.0,,3.1333333333333333,,75.0,3.0,6.25,7.5,,99.88333333333333
2020-12-18 07:59:30,,5.0,,3.1333333333333333,,75.0,3.0,6.666666666666666,7.5,,100.3
2020-12-18 07:59:31,,5.0,,3.1333333333333333,,75.0,3.0,6.666666666666666,7.5,,100.3
2020-12-18 07:59:32,,5.0,,3.1333333333333333,,75.0,3.0,6.666666666666666,7.5,,100.3
2020-12-18 07:59:33,,5.0,,3.1333333333333333,,75.0,3.0,6.666666666666666,7.5,,100.3
2020-12-18 07:59:34,,7.5,,3.1333333333333333,,75.0,3.0,6.666666666666666,7.5,,102.8
2020-12-18 07:59:35,,7.5,,3.1333333333333333,,75.0,3.0,6.666666666666666,7.5,,102.8
2020-12-18 07:59:36,,7.5,,3.1333333333333333,,75.0,3.0,6.666666666666666,7.5,,102.8
2020-12-18 07:59:37,,7.5,,3.1333333333333333,,66.66666666666666,3.0,6.666666666666666,7.5,,94.46666666666668
2020-12-18 07:59:38,,7.5,,3.1333333333333333,,66.66666666666666,3.0,6.666666666666666,7.5,,94.46666666666668
2020-12-18 07:59:39,,7.5,,3.1333333333333333,,66.66666666666666,3.0,6.666666666666666,7.5,,94.46666666666668
2020-12-18 07:59:40,,7.5,,3.1333333333333333,,66.66666666666666,3.0,6.666666666666666,7.5,,94.46666666666668
2020-12-18 07:59:41,,7.5,,3.1333333333333333,,66.66666666666666,3.0,6.666666666666666,7.5,,94.46666666666668
2020-12-18 07:59:42,,7.5,,3.1333333333333333,,66.66666666666666,3.0,6.666666666666666,7.5,,94.46666666666668
2020-12-18 07:59:43,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,6.666666666666666,7.5,,97.66666666666666
2020-12-18 07:59:44,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,6.666666666666666,7.5,,97.66666666666666
2020-12-18 07:59:45,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,4.0,17.5,,105.0
2020-12-18 07:59:46,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,4.0,17.5,,105.0
2020-12-18 07:59:47,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,4.0,17.5,,105.0
2020-12-18 07:59:48,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,4.0,17.5,,105.0
2020-12-18 07:59:49,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,4.0,17.5,,105.0
2020-12-18 07:59:50,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,4.0,17.5,,105.0
2020-12-18 07:59:51,,7.5,,3.1333333333333333,3.0,66.66666666666666,3.2,4.0,17.5,,105.0
2020-12-18 07:59:52,,7.5,,3.1333333333333333,3.0,137.5,3.2,4.0,17.5,,175.83333333333331
2020-12-18 07:59:53,,7.5,,3.1333333333333333,3.0,137.5,3.2,4.0,17.5,,175.83333333333331
2020-12-18 07:59:54,,7.5,,3.1333333333333333,3.0,137.5,3.2,4.0,17.5,,175.83333333333331
2020-12-18 07:59:55,,7.5,,3.1333333333333333,3.0,137.5,3.2,4.0,17.5,,175.83333333333331
2020-12-18 07:59:56,,7.5,,3.1379310344827585,3.0,137.5,3.2,4.0,17.5,,175.83793103448278
2020-12-18 07:59:57,,7.5,,3.1379310344827585,3.0,137.5,3.2,4.0,17.5,,175.83793103448278
2020-12-18 07:59:58,,7.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,4.0,17.5,,175.86015325670502
2020-12-18 07:59:59,,7.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,4.0,17.5,,175.86015325670502
2020-12-18 08:00:00,,7.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,170.1934865900383
2020-12-18 08:00:01,,7.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,170.1934865900383
2020-12-18 08:00:02,,7.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,170.1934865900383
2020-12-18 08:00:03,,7.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,170.1934865900383
2020-12-18 08:00:04,,17.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,180.1934865900383
2020-12-18 08:00:05,,17.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,180.1934865900383
2020-12-18 08:00:06,,17.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,180.1934865900383
2020-12-18 08:00:07,,17.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,180.1934865900383
2020-12-18 08:00:08,,17.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,180.1934865900383
2020-12-18 08:00:09,,17.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,180.1934865900383
2020-12-18 08:00:10,,17.5,,3.1379310344827585,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,180.1934865900383
2020-12-18 08:00:11,,17.5,,1.4999999999999998,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,178.55555555555554
2020-12-18 08:00:12,,17.5,,1.4999999999999998,3.0,137.5,3.2222222222222223,6.666666666666666,9.166666666666666,,178.55555555555554
2020-12-18 08:00:13,,17.5,,1.4999999999999998,3.0,137.5,3.0,6.666666666666666,9.166666666666666,,178.33333333333331
2020-12-18 08:00:14,,17.5,,1.4999999999999998,3.0,137.5,3.0,6.666666666666666,9.166666666666666,,178.33333333333331
2020-12-18 08:00:15,,17.5,,1.4999999999999998,3.0,137.5,3.0,17.5,5.0,,185.0
2020-12-18 08:00:16,,17.5,,1.4999999999999998,3.0,137.5,3.0,17.5,5.0,,185.0
2020-12-18 08:00:17,,17.5,,1.4999999999999998,3.0,137.5,3.0,17.5,5.0,,185.0
2020-12-18 08:00:18,,17.5,,1.4999999999999998,3.0,137.5,3.0,17.5,5.0,,185.0
2020-12-18 08:00:19,,7.5,,1.4999999999999998,3.0,137.5,3.0,17.5,5.0,,175.0
2020-12-18 08:00:20,,7.5,,1.4999999999999998,3.0,137.5,3.0,17.5,5.0,,175.0
2020-12-18 08:00:21,,7.5,,1.4999999999999998,3.0,137.5,3.0,17.5,5.0,,175.0
2020-12-18 08:00:22,,7.5,,1.4999999999999998,3.0,75.0,3.0,17.5,5.0,,112.5
2020-12-18 08:00:23,,7.5,,1.4999999999999998,3.0,75.0,3.0,17.5,5.0,,112.5
2020-12-18 08:00:24,,7.5,,1.4999999999999998,3.0,75.0,3.0,17.5,5.0,,112.5
2020-12-18 08:00:25,,7.5,,1.4999999999999998,3.0,75.0,3.0,17.5,5.0,,112.5
2020-12-18 08:00:26,,7.5,,3.0,3.0,75.0,3.0,17.5,5.0,,114.0
2020-12-18 08:00:27,,7.5,,3.0,3.0,75.0,3.0,17.5,5.0,,114.0
2020-12-18 08:00:28,,7.5,,3.0,,75.0,3.0,17.5,5.0,,111.0
2020-12-18 08:00:29,,7.5,,3.0,,75.0,3.0,17.5,5.0,,111.0
2020-12-18 08:00:30,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:31,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:32,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:33,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:34,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:35,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:36,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:37,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:38,,7.5,,3.0,,75.0,3.0,4.0,10.0,,102.5
2020-12-18 08:00:39,,7.5,3.0,3.0,,75.0,3.0,4.0,10.0,,105.5
2020-12-18 08:00:40,,7.5,3.0,3.0,,75.0,3.0,4.0,10.0,,105.5
2020-12-18 08:00:41,,7.5,3.0,2.7551020408163263,,75.0,3.0,4.0,10.0,,105.25510204081631
2020-12-18 08:00:42,,7.5,3.0,2.7551020408163263,,75.0,3.0,4.0,10.0,250.0,355.2551020408163
2020-12-18 08:00:43,,7.5,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,4.0,10.0,250.0,358.2551020408163
2020-12-18 08:00:44,,7.5,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,4.0,10.0,250.0,358.2551020408163
2020-12-18 08:00:45,0.5,7.5,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,7.083333333333332,8.75,250.0,360.58843537414964
2020-12-18 08:00:46,0.5,7.5,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,7.083333333333332,8.75,250.0,360.58843537414964
2020-12-18 08:00:47,0.5,7.5,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,7.083333333333332,8.75,250.0,360.58843537414964
2020-12-18 08:00:48,0.5,7.5,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,7.083333333333332,8.75,250.0,360.58843537414964
2020-12-18 08:00:49,0.5,4.0,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,7.083333333333332,8.75,250.0,357.08843537414964
2020-12-18 08:00:50,0.5,4.0,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,7.083333333333332,8.75,250.0,357.08843537414964
2020-12-18 08:00:51,0.5,4.0,3.0,2.7551020408163263,3.0,75.0,3.0000000000000004,7.083333333333332,8.75,250.0,357.08843537414964
2020-12-18 08:00:52,0.5,4.0,3.0,2.7551020408163263,3.0,87.5,3.0000000000000004,7.083333333333332,8.75,250.0,369.58843537414964
