Time,shippingservice,cartservice,paymentservice,currencyservice,checkoutservice,productcatalogservice,frontend,recommendationservice,adservice,emailservice,Total
2020-11-10 07:55:22,1.7999999999999998,4.125,3.0,2.978142076502732,50.0,1.8888888888888893,72.22222222222223,7.5,6.538461538461537,3.0,153.0527147260754
2020-11-10 07:55:23,1.7999999999999998,4.125,3.0,2.978142076502732,50.0,1.8888888888888893,72.22222222222223,7.5,6.538461538461537,3.0,153.0527147260754
2020-11-10 07:55:24,1.7999999999999998,4.125,3.0,2.978142076502732,50.0,1.8888888888888893,72.22222222222223,7.5,6.538461538461537,3.0,153.0527147260754
2020-11-10 07:55:25,1.7999999999999998,4.125,3.0,2.978142076502732,50.0,1.4711538461538456,72.22222222222223,7.5,6.538461538461537,3.0,152.6349796833404
2020-11-10 07:55:26,1.7999999999999998,4.125,3.0,3.092105263157895,50.0,1.4711538461538456,72.22222222222223,7.5,6.538461538461537,3.0,152.74894286999555
2020-11-10 07:55:27,1.7999999999999998,4.125,3.0,3.092105263157895,50.0,1.4711538461538456,72.22222222222223,7.5,6.538461538461537,3.0,152.74894286999555
2020-11-10 07:55:28,1.7999999999999998,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,72.22222222222223,7.5,6.538461538461537,3.0,152.0128317588844
2020-11-10 07:55:29,1.7999999999999998,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,72.22222222222223,6.3095238095238075,6.538461538461537,3.0,150.82235556840823
2020-11-10 07:55:30,1.7999999999999998,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,72.22222222222223,6.3095238095238075,6.538461538461537,3.0,150.82235556840823
2020-11-10 07:55:31,1.7999999999999998,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,72.22222222222223,6.3095238095238075,6.538461538461537,3.0,150.82235556840823
2020-11-10 07:55:32,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,67.39130434782608,6.3095238095238075,6.538461538461537,3.0,144.52143769401206
2020-11-10 07:55:33,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,67.39130434782608,6.3095238095238075,6.538461538461537,3.0,144.52143769401206
2020-11-10 07:55:34,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,143.1145551029189
2020-11-10 07:55:35,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,143.1145551029189
2020-11-10 07:55:36,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,50.0,1.4711538461538456,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,143.1145551029189
2020-11-10 07:55:37,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,74.99999999999999,1.4711538461538456,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,168.1145551029189
2020-11-10 07:55:38,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,74.99999999999999,1.4711538461538456,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,168.1145551029189
2020-11-10 07:55:39,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,74.99999999999999,1.4711538461538456,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,168.1145551029189
2020-11-10 07:55:40,0.3300000000000001,3.888888888888889,2.5,3.092105263157895,74.99999999999999,1.5626740947075208,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,168.20607535147258
2020-11-10 07:55:41,0.3300000000000001,3.888888888888889,2.5,3.2360515021459233,74.99999999999999,1.5626740947075208,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,168.35002159046059
2020-11-10 07:55:42,0.3300000000000001,3.888888888888889,2.5,3.2360515021459233,74.99999999999999,1.5626740947075208,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,168.35002159046059
2020-11-10 07:55:43,0.3300000000000001,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,67.39130434782608,6.3095238095238075,5.1315789473684195,3.0,168.91745454065216
2020-11-10 07:55:44,0.3300000000000001,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,67.39130434782608,7.132352941176469,5.1315789473684195,3.0,169.74028367230483
2020-11-10 07:55:45,0.3300000000000001,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,67.39130434782608,7.132352941176469,5.1315789473684195,3.0,169.74028367230483
2020-11-10 07:55:46,0.3300000000000001,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,67.39130434782608,7.132352941176469,5.1315789473684195,3.0,169.74028367230483
2020-11-10 07:55:47,0.4423076923076921,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,75.41666666666667,7.132352941176469,5.1315789473684195,3.0,177.87795368345314
2020-11-10 07:55:48,0.4423076923076921,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,75.41666666666667,7.132352941176469,5.1315789473684195,3.0,177.87795368345314
2020-11-10 07:55:49,0.4423076923076921,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,75.41666666666667,7.132352941176469,4.066666666666666,3.0,176.8130414027514
2020-11-10 07:55:50,0.4423076923076921,4.35632183908046,2.6,3.2360515021459233,74.99999999999999,1.5626740947075208,75.41666666666667,7.132352941176469,4.066666666666666,3.0,176.8130414027514
