Time,frontend,currencyservice,cartservice,adservice,emailservice,paymentservice,recommendationservice,checkoutservice,shippingservice,productcatalogservice,Total
2020-12-17 21:43:14,66.66666666666666,2.2,5.0,7.5,,,17.5,,3.0,3.0,104.86666666666666
2020-12-17 21:43:15,66.66666666666666,2.2,5.0,7.5,,,17.5,,3.0,3.0,104.86666666666666
2020-12-17 21:43:16,66.66666666666666,2.2,5.0,7.5,,,17.5,,3.0,3.0,104.86666666666666
2020-12-17 21:43:17,66.66666666666666,2.2,5.0,7.5,,,17.5,,3.0,3.0,104.86666666666666
2020-12-17 21:43:18,66.66666666666666,2.2,5.0,7.5,,,17.5,,3.0,3.0,104.86666666666666
2020-12-17 21:43:19,66.66666666666666,2.2,7.5,7.5,,,17.5,,3.0,3.0,107.36666666666666
2020-12-17 21:43:20,66.66666666666666,2.2,7.5,7.5,,,17.5,,3.0,3.0,107.36666666666666
2020-12-17 21:43:21,66.66666666666666,2.2,7.5,7.5,,,17.5,,3.0,3.0,107.36666666666666
2020-12-17 21:43:22,66.66666666666666,2.2,7.5,7.5,,,17.5,,3.0,3.0,107.36666666666666
2020-12-17 21:43:23,66.66666666666666,2.2,7.5,7.5,,,17.5,,3.0,3.0,107.36666666666666
2020-12-17 21:43:24,66.66666666666666,3.0,7.5,7.5,,,17.5,,3.0,3.0,108.16666666666666
2020-12-17 21:43:25,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:26,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:27,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:28,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:29,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:30,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:31,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:32,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:33,75.0,3.0,7.5,7.5,,,17.5,,3.0,3.0,116.5
2020-12-17 21:43:34,75.0,3.0,5.0,7.5,,,17.5,,,3.0,111.0
2020-12-17 21:43:35,75.0,3.0,5.0,6.25,,,17.5,,,3.0,109.75
2020-12-17 21:43:36,75.0,3.0,5.0,6.25,,,17.5,,,3.0,109.75
2020-12-17 21:43:37,75.0,3.0,5.0,6.25,,,17.5,,,3.0,109.75
2020-12-17 21:43:38,75.0,3.0,5.0,6.25,,,17.5,,,3.0,109.75
2020-12-17 21:43:39,75.0,3.2857142857142856,5.0,6.25,,,17.5,,,3.0,110.03571428571428
2020-12-17 21:43:40,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:41,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:42,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:43,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:44,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:45,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:46,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:47,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:48,75.0,3.2857142857142856,5.0,6.25,,,10.0,,,3.0,102.53571428571428
2020-12-17 21:43:49,75.0,3.2857142857142856,8.125,6.25,,,10.0,,3.0,3.0,108.66071428571428
2020-12-17 21:43:50,75.0,3.2857142857142856,8.125,7.5,,,10.0,,3.0,3.0,109.91071428571428
2020-12-17 21:43:51,75.0,3.2857142857142856,8.125,7.5,,,10.0,,3.0,3.0,109.91071428571428
2020-12-17 21:43:52,75.0,3.2857142857142856,8.125,7.5,,,10.0,,3.0,3.0,109.91071428571428
2020-12-17 21:43:53,75.0,3.2857142857142856,8.125,7.5,,,10.0,,3.0,3.0,109.91071428571428
2020-12-17 21:43:54,75.0,3.4000000000000004,8.125,7.5,,,10.0,,3.0,3.0,110.025
2020-12-17 21:43:55,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.0,138.775
2020-12-17 21:43:56,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
2020-12-17 21:43:57,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
2020-12-17 21:43:58,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
2020-12-17 21:43:59,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
2020-12-17 21:44:00,100.0,3.4000000000000004,8.125,7.5,,,13.75,,3.0,3.095238095238096,138.8702380952381
