Time,currencyservice,emailservice,checkoutservice,frontend,adservice,recommendationservice,productcatalogservice,paymentservice,cartservice,shippingservice,Total
2020-12-11 07:58:21,3.046511627906977,7.5,175.0,80.76923076923076,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,302.4529474849872
2020-12-11 07:58:22,3.2471910112359548,7.5,175.0,80.76923076923076,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,302.6536268683161
2020-12-11 07:58:23,3.2471910112359548,,175.0,83.75,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,298.13439609908534
2020-12-11 07:58:24,3.2471910112359548,,175.0,83.75,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,298.13439609908534
2020-12-11 07:58:25,3.2471910112359548,,175.0,83.75,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,298.13439609908534
2020-12-11 07:58:26,3.2471910112359548,,175.0,83.75,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,298.13439609908534
2020-12-11 07:58:27,3.2471910112359548,,175.0,83.75,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,298.13439609908534
2020-12-11 07:58:28,3.2471910112359548,,175.0,83.75,7.717391304347826,11.875,3.118343195266272,3.0,7.426470588235293,3.0,298.13439609908534
2020-12-11 07:58:29,3.2471910112359548,,175.0,83.75,7.239583333333334,11.875,3.118343195266272,3.0,7.426470588235293,3.0,297.65658812807084
2020-12-11 07:58:30,3.2471910112359548,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.426470588235293,3.0,299.71508825077694
2020-12-11 07:58:31,3.2471910112359548,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.426470588235293,3.0,299.71508825077694
2020-12-11 07:58:32,3.2471910112359548,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.426470588235293,3.0,299.71508825077694
2020-12-11 07:58:33,3.2471910112359548,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.426470588235293,3.0,299.71508825077694
2020-12-11 07:58:34,3.2471910112359548,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.426470588235293,2.916666666666667,299.63175491744363
2020-12-11 07:58:35,3.2471910112359548,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,299.3927843292083
2020-12-11 07:58:36,3.2471910112359548,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,299.3927843292083
2020-12-11 07:58:37,3.168367346938775,,175.0,83.75,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,299.3139606649112
2020-12-11 07:58:38,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,308.32153642248693
2020-12-11 07:58:39,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,308.32153642248693
2020-12-11 07:58:40,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,308.32153642248693
2020-12-11 07:58:41,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,308.32153642248693
2020-12-11 07:58:42,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,308.32153642248693
2020-12-11 07:58:43,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,7.239583333333334,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,308.32153642248693
2020-12-11 07:58:44,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,6.9491525423728815,14.25,2.80184331797235,3.0,7.1875,2.916666666666667,308.0311056315265
2020-12-11 07:58:45,3.168367346938775,3.6666666666666665,175.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.1875,2.916666666666667,307.76281415071134
2020-12-11 07:58:46,3.168367346938775,3.6666666666666665,125.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.1875,2.916666666666667,257.76281415071134
2020-12-11 07:58:47,3.168367346938775,3.6666666666666665,125.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.1875,2.916666666666667,257.76281415071134
2020-12-11 07:58:48,3.168367346938775,3.6666666666666665,125.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.1875,2.916666666666667,257.76281415071134
2020-12-11 07:58:49,3.168367346938775,3.6666666666666665,125.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.1875,2.2432432432432434,257.0893907272878
2020-12-11 07:58:50,3.168367346938775,3.6666666666666665,125.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.3364485981308425,2.2432432432432434,257.2383393254187
2020-12-11 07:58:51,3.168367346938775,3.6666666666666665,125.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.3364485981308425,2.2432432432432434,257.2383393254187
2020-12-11 07:58:52,2.731707317073171,3.6666666666666665,125.0,89.0909090909091,6.9491525423728815,14.191176470588234,2.592375366568915,3.0,7.3364485981308425,2.2432432432432434,256.8016792955531
