Time,redis-cart
2019-10-02 09:42:00,4.63453912443271
2019-10-02 09:43:00,4.87364992490047
2019-10-02 09:44:00,5.2929514778583755
2019-10-02 09:45:00,4.885844068318204
2019-10-02 09:46:00,5.301521822190147
2019-10-02 09:47:00,5.360310651408287
2019-10-02 09:48:00,5.428932819598181
2019-10-02 09:49:00,4.843436665147936
2019-10-02 09:50:00,4.404431041051794
2019-10-02 09:51:00,4.252804112489069
2019-10-02 09:52:00,3.9180119757834815
2019-10-02 09:53:00,3.5007364751485768
2019-10-02 09:54:00,3.0840749333852195
2019-10-02 09:55:00,2.9607338038473476
2019-10-02 09:56:00,3.9100015855426764
2019-10-02 09:57:00,4.396340355369679
2019-10-02 09:58:00,4.895319640231382
2019-10-02 09:59:00,5.204494369649505
2019-10-02 10:00:00,4.780349738600005
2019-10-02 10:01:00,5.381450596324121
2019-10-02 10:02:00,5.238641292538955
2019-10-02 10:03:00,5.2320894301430645
2019-10-02 10:04:00,4.989194675123454
2019-10-02 10:05:00,4.212476368361546
2019-10-02 10:06:00,4.514047681060069
2019-10-02 10:07:00,4.410766706474161
2019-10-02 10:08:00,4.314072634065849
2019-10-02 10:09:00,4.460565148271562
2019-10-02 10:10:00,4.621748402236297
2019-10-02 10:11:00,4.945868029670572
2019-10-02 10:12:00,5.089362241221446
2019-10-02 10:13:00,5.17767558032612
2019-10-02 10:14:00,5.066070882233892
2019-10-02 10:15:00,5.180493112386528
2019-10-02 10:16:00,5.2039628066039825
2019-10-02 10:17:00,5.240959297512718
2019-10-02 10:18:00,5.129927748629322
2019-10-02 10:19:00,5.0053773853923245
2019-10-02 10:20:00,5.080767930331987
2019-10-02 10:21:00,4.9264827638898225
2019-10-02 10:22:00,5.107244088214915
2019-10-02 10:23:00,5.238682917281033
2019-10-02 10:24:00,5.236771154684994
2019-10-02 10:25:00,5.111810382443528
2019-10-02 10:26:00,4.953407807146521
2019-10-02 10:27:00,4.231202183187094
2019-10-02 10:28:00,3.6832055983035628
2019-10-02 10:29:00,2.882100419486491
2019-10-02 10:30:00,2.6986641362800827
2019-10-02 10:31:00,2.8107114371924213
2019-10-02 10:32:00,2.785747394820339
2019-10-02 10:33:00,2.8372241466374026
2019-10-02 10:34:00,2.7784748151257475
2019-10-02 10:35:00,2.785812282088396
2019-10-02 10:36:00,2.680692593950254
2019-10-02 10:37:00,2.752274974391752
2019-10-02 10:38:00,2.783798830916509
2019-10-02 10:39:00,2.7911848984593552
2019-10-02 10:40:00,2.7701424436526167
2019-10-02 10:41:00,2.9447052810437913
2019-10-02 10:42:00,2.9029620817124733
2019-10-02 10:43:00,3.299727618923322
2019-10-02 10:44:00,4.0827818776793645
2019-10-02 10:45:00,5.052678498087764
2019-10-02 10:46:00,5.840568912337492
2019-10-02 10:47:00,6.8496660917248615
2019-10-02 10:48:00,7.461656183328718
2019-10-02 10:49:00,7.545811287528148
2019-10-02 10:50:00,7.496897125518194
2019-10-02 10:51:00,7.232483615795064
2019-10-02 10:52:00,7.103171547257914
2019-10-02 10:53:00,6.66000893952027
2019-10-02 10:54:00,6.5691029354433494
2019-10-02 10:55:00,6.283081856884471
2019-10-02 10:56:00,6.0260686823787895
2019-10-02 10:57:00,6.17773398569492
2019-10-02 10:58:00,6.214855807072377
2019-10-02 10:59:00,6.310258771047682
2019-10-02 11:00:00,6.239734104241443
2019-10-02 11:01:00,6.013651014092054
2019-10-02 11:02:00,6.353229843973557
2019-10-02 11:03:00,6.029587322401622
2019-10-02 11:04:00,5.859206179457085
2019-10-02 11:05:00,5.897150313069013
2019-10-02 11:06:00,5.894412740629173
2019-10-02 11:07:00,6.041280416234169
2019-10-02 11:08:00,5.985631166730681
2019-10-02 11:09:00,5.941354060764052
2019-10-02 11:10:00,5.9276741109005595
2019-10-02 11:11:00,5.9690025118239705
2019-10-02 11:12:00,5.652370799664885
2019-10-02 11:13:00,5.854451481056544
2019-10-02 11:14:00,5.69834967741381
2019-10-02 11:15:00,5.53030604445013
2019-10-02 11:16:00,5.149621318804982
2019-10-02 11:17:00,5.914980655283281
2019-10-02 11:18:00,5.921868316564773
2019-10-02 11:19:00,6.28129638726472
2019-10-02 11:20:00,6.22802278172446
2019-10-02 11:21:00,5.700471838357426
2019-10-02 11:22:00,5.697467197484028
2019-10-02 11:23:00,5.8308351306245605
2019-10-02 11:24:00,5.846390343349092
2019-10-02 11:25:00,5.87319518946022
2019-10-02 11:26:00,5.377775746403619
2019-10-02 11:27:00,6.190108533453271
2019-10-02 11:28:00,6.143647185943567
2019-10-02 11:29:00,6.209718155090782
2019-10-02 11:30:00,6.128579040240886
2019-10-02 11:31:00,5.666874297698051
2019-10-02 11:32:00,6.1460068485240935
2019-10-02 11:33:00,6.003265532077091
2019-10-02 11:34:00,6.484220424378695
2019-10-02 11:35:00,7.01368588343623
2019-10-02 11:36:00,7.0117438750313665
2019-10-02 11:37:00,8.3724049011544
2019-10-02 11:38:00,8.75345487910529
2019-10-02 11:39:00,8.941512864010416
2019-10-02 11:40:00,8.823715408539863
2019-10-02 11:41:00,8.592932561866412
2019-10-02 11:42:00,8.675346513657036
2019-10-02 11:43:00,7.081157185348241
2019-10-02 11:44:00,7.544450379897307
2019-10-02 11:45:00,7.619630837062818
2019-10-02 11:46:00,6.651931616141797
2019-10-02 11:47:00,8.153809595219744
2019-10-02 11:48:00,8.894898935084827
2019-10-02 11:49:00,9.129748981060878
2019-10-02 11:50:00,9.166625864953946
2019-10-02 11:51:00,8.749200285701733
2019-10-02 11:52:00,9.081846617947651
