Time,emailservice,adservice,shippingservice,frontend,currencyservice,checkoutservice,cartservice,recommendationservice,paymentservice,productcatalogservice,Total
2020-11-28 19:15:21,,5.326086956521738,0.5,62.03703703703704,2.540983606557377,,5.775862068965517,13.75,3.0,0.5,93.42996966908164
2020-11-28 19:15:22,,5.326086956521738,0.5,62.03703703703704,2.540983606557377,37.5,5.775862068965517,13.75,3.0,0.5,130.92996966908166
2020-11-28 19:15:23,3.0,5.326086956521738,0.5,62.03703703703704,2.540983606557377,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.43830300241501
2020-11-28 19:15:24,3.0,5.326086956521738,0.5,62.03703703703704,2.540983606557377,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.43830300241501
2020-11-28 19:15:25,3.0,5.326086956521738,0.5,62.03703703703704,2.540983606557377,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.43830300241501
2020-11-28 19:15:26,3.0,5.326086956521738,0.5,62.03703703703704,2.540983606557377,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.43830300241501
2020-11-28 19:15:27,3.0,5.326086956521738,0.4,62.03703703703704,2.540983606557377,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.338303002415
2020-11-28 19:15:28,3.0,5.326086956521738,0.4,62.03703703703704,2.7637795275590555,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.5610989234167
2020-11-28 19:15:29,3.0,5.326086956521738,0.4,62.03703703703704,2.7637795275590555,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.5610989234167
2020-11-28 19:15:30,3.0,5.326086956521738,0.4,62.03703703703704,2.7637795275590555,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.5610989234167
2020-11-28 19:15:31,3.0,5.326086956521738,0.4,62.03703703703704,2.7637795275590555,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.5610989234167
2020-11-28 19:15:32,3.0,5.326086956521738,0.4,62.03703703703704,2.7637795275590555,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.5610989234167
2020-11-28 19:15:33,3.0,5.326086956521738,0.4,62.03703703703704,2.7637795275590555,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.5610989234167
2020-11-28 19:15:34,3.0,5.326086956521738,0.4,62.03703703703704,2.7637795275590555,37.5,5.775862068965517,5.625,3.0,1.1333333333333335,126.5610989234167
2020-11-28 19:15:35,3.0,5.0,0.4,62.03703703703704,2.7637795275590555,37.5,6.696428571428571,5.625,3.0,1.1333333333333335,127.155578469358
2020-11-28 19:15:36,3.0,5.0,0.4,65.34090909090908,2.7637795275590555,37.5,6.696428571428571,5.625,3.0,1.1333333333333335,130.45945052323003
2020-11-28 19:15:37,3.0,5.0,0.4,65.34090909090908,2.7637795275590555,43.75,6.696428571428571,5.625,3.0,1.1333333333333335,136.70945052323003
2020-11-28 19:15:38,4.0,5.0,0.4,65.34090909090908,2.7637795275590555,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,141.2549784904442
2020-11-28 19:15:39,4.0,5.0,0.4,65.34090909090908,2.7637795275590555,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,141.2549784904442
2020-11-28 19:15:40,4.0,5.0,0.4,65.34090909090908,2.7637795275590555,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,141.2549784904442
2020-11-28 19:15:41,4.0,5.0,0.4,65.34090909090908,2.7637795275590555,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,141.2549784904442
2020-11-28 19:15:42,4.0,5.0,1.3333333333333337,65.34090909090908,2.7637795275590555,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,142.18831182377752
2020-11-28 19:15:43,4.0,5.0,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,142.51564846933917
2020-11-28 19:15:44,4.0,5.0,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,142.51564846933917
2020-11-28 19:15:45,4.0,5.0,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,142.51564846933917
2020-11-28 19:15:46,4.0,5.0,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,142.51564846933917
2020-11-28 19:15:47,4.0,5.0,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,142.51564846933917
2020-11-28 19:15:48,4.0,5.0,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,6.696428571428571,8.189655172413794,3.0,2.1142061281337057,142.51564846933917
2020-11-28 19:15:49,4.0,5.0,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,6.696428571428571,8.189655172413794,2.333333333333333,2.1142061281337057,141.84898180267254
2020-11-28 19:15:50,4.0,4.371428571428571,1.3333333333333337,65.34090909090908,3.091116173120729,43.75,5.9868421052631575,8.189655172413794,2.333333333333333,2.1142061281337057,140.5108239079357
2020-11-28 19:15:51,4.0,4.371428571428571,1.3333333333333337,67.25352112676056,3.091116173120729,43.75,5.9868421052631575,8.189655172413794,2.333333333333333,2.1142061281337057,142.42343594378718
2020-11-28 19:15:52,4.0,4.371428571428571,1.3333333333333337,67.25352112676056,3.091116173120729,50.0,5.9868421052631575,8.189655172413794,2.333333333333333,2.1142061281337057,148.67343594378718
