Time,productcatalogservice,adservice,cartservice,checkoutservice,emailservice,paymentservice,recommendationservice,frontend,currencyservice,shippingservice,Total
2020-12-14 15:15:55,2.9131711702810987,5.583756345177664,20.3158844765343,5.5769230769230775,,3.285714285714286,20.465869915171027,67.75793650793652,6.750912724670576,2.894736842105264,135.5449053445138
2020-12-14 15:15:56,2.9131711702810987,5.583756345177664,20.3158844765343,5.5769230769230775,,3.285714285714286,20.465869915171027,67.75793650793652,6.750912724670576,2.894736842105264,135.5449053445138
2020-12-14 15:15:57,2.975226757380076,5.583756345177664,20.3158844765343,227.5,4.538461538461538,3.285714285714286,21.45404425020784,68.13724298425305,6.750912724670576,2.894736842105264,363.43598020450463
2020-12-14 15:15:58,2.975226757380076,5.583756345177664,20.3158844765343,227.5,4.538461538461538,3.285714285714286,21.45404425020784,2065.43350862124,6.750912724670576,2.894736842105264,2360.732245841492
2020-12-14 15:15:59,3.0179899949946445,5.583756345177664,20.3158844765343,227.5,4.538461538461538,3.285714285714286,21.45404425020784,2065.43350862124,6.750912724670576,2.894736842105264,2360.7750090791064
2020-12-14 15:16:00,3.114370593491918,5.583756345177664,20.3158844765343,227.5,4.538461538461538,3.285714285714286,21.45404425020784,2065.43350862124,6.750912724670576,2.894736842105264,2360.8713896776035
2020-12-14 15:16:01,3.114370593491918,5.583756345177664,20.3158844765343,227.5,4.538461538461538,3.285714285714286,21.45404425020784,2065.43350862124,8.392599465677192,2.894736842105264,2362.5130764186097
2020-12-14 15:16:02,3.122361232315141,5.583756345177664,20.3158844765343,227.5,4.538461538461538,3.285714285714286,22.656224624732445,2065.43350862124,8.392599465677192,2.894736842105264,2363.723247431958
2020-12-14 15:16:03,3.122361232315141,5.583756345177664,20.3158844765343,227.5,4.538461538461538,2.914893617021277,22.656224624732445,2065.43350862124,8.392599465677192,2.894736842105264,2363.352426763265
2020-12-14 15:16:04,3.122361232315141,5.583756345177664,20.3158844765343,227.5,4.538461538461538,2.914893617021277,22.656224624732445,2065.43350862124,8.392599465677192,2.894736842105264,2363.352426763265
2020-12-14 15:16:05,3.19708761035656,5.583756345177664,20.3158844765343,227.5,4.538461538461538,2.914893617021277,22.656224624732445,2065.43350862124,8.392599465677192,2.894736842105264,2363.4271531413065
2020-12-14 15:16:06,3.2043353625647386,5.583756345177664,20.3158844765343,227.5,4.538461538461538,2.914893617021277,22.656224624732445,2065.43350862124,8.159658277430752,2.894736842105264,2363.2014597052685
2020-12-14 15:16:07,3.1827366416720984,5.583756345177664,20.3158844765343,227.5,4.538461538461538,2.914893617021277,22.247309277613354,2065.43350862124,8.159658277430752,2.894736842105264,2362.7709456372572
2020-12-14 15:16:08,3.198458270308844,4.084598698481562,20.3158844765343,227.5,4.538461538461538,2.914893617021277,22.247309277613354,2065.43350862124,8.159658277430752,3.3539823008849563,2361.746755077977
2020-12-14 15:16:09,3.2353253125994064,4.084598698481562,19.25431711145997,227.5,4.538461538461538,2.914893617021277,22.582463366822072,2065.43350862124,8.159658277430752,3.3539823008849563,2361.057208844402
