Time,productcatalogservice,recommendationservice,cartservice,adservice,paymentservice,shippingservice,frontend,emailservice,currencyservice,checkoutservice,Total
2020-12-11 20:21:21,2.79,7.5,6.612903225806452,9.0,0.5,1.5,78.03030303030303,3.0,2.7016574585635365,50.0,161.63486371467303
2020-12-11 20:21:22,2.79,7.5,6.612903225806452,7.357142857142858,0.5,1.5,78.03030303030303,3.0,2.7016574585635365,50.0,159.99200657181586
2020-12-11 20:21:23,2.79,8.958333333333332,6.612903225806452,7.357142857142858,0.5,1.5,78.03030303030303,3.0,2.7016574585635365,50.0,161.4503399051492
2020-12-11 20:21:24,2.79,8.958333333333332,6.612903225806452,7.357142857142858,0.5,1.7272727272727275,78.03030303030303,3.0,2.7016574585635365,50.0,161.67761263242193
2020-12-11 20:21:25,2.79,8.958333333333332,6.612903225806452,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.7016574585635365,50.0,164.17761263242193
2020-12-11 20:21:26,2.79,8.958333333333332,6.612903225806452,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.7016574585635365,50.0,164.17761263242193
2020-12-11 20:21:27,2.79,8.958333333333332,6.612903225806452,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.7016574585635365,50.0,164.17761263242193
2020-12-11 20:21:28,2.79,8.958333333333332,6.612903225806452,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.7016574585635365,50.0,164.17761263242193
2020-12-11 20:21:29,2.1734104046242777,8.958333333333332,6.612903225806452,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.9101796407185634,50.0,163.76954521920123
2020-12-11 20:21:30,2.1734104046242777,8.958333333333332,7.1,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.9101796407185634,50.0,164.25664199339482
2020-12-11 20:21:31,2.1734104046242777,8.958333333333332,7.1,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.9101796407185634,50.0,164.25664199339482
2020-12-11 20:21:32,2.1734104046242777,8.958333333333332,7.1,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.9101796407185634,50.0,164.25664199339482
2020-12-11 20:21:33,2.1734104046242777,8.958333333333332,7.1,7.357142857142858,3.0,1.7272727272727275,78.03030303030303,3.0,2.9101796407185634,50.0,164.25664199339482
2020-12-11 20:21:34,2.1734104046242777,8.958333333333332,7.1,7.357142857142858,3.0,1.7272727272727275,78.06122448979592,3.0,2.9101796407185634,50.0,164.2875634528877
2020-12-11 20:21:35,2.1734104046242777,8.958333333333332,7.1,7.357142857142858,3.0,1.7272727272727275,78.06122448979592,3.0,2.9101796407185634,50.0,164.2875634528877
2020-12-11 20:21:36,2.1734104046242777,8.958333333333332,7.1,7.357142857142858,3.0,1.7272727272727275,78.06122448979592,3.0,2.9101796407185634,50.0,164.2875634528877
2020-12-11 20:21:37,2.1734104046242777,8.958333333333332,7.1,5.347222222222221,3.0,1.7272727272727275,78.06122448979592,3.0,2.9101796407185634,50.0,162.27764281796703
2020-12-11 20:21:38,2.1734104046242777,8.333333333333332,7.1,5.347222222222221,3.0,1.7272727272727275,78.06122448979592,3.0,2.9101796407185634,50.0,161.65264281796703
2020-12-11 20:21:39,2.1734104046242777,8.333333333333332,7.1,5.347222222222221,3.0,1.5555555555555558,78.06122448979592,3.0,2.9101796407185634,50.0,161.48092564624991
2020-12-11 20:21:40,2.1734104046242777,8.333333333333332,7.1,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,2.9101796407185634,50.0,161.48092564624991
2020-12-11 20:21:41,2.1734104046242777,8.333333333333332,7.1,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,2.9101796407185634,50.0,161.48092564624991
2020-12-11 20:21:42,2.1734104046242777,8.333333333333332,7.1,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,2.9101796407185634,66.66666666666666,178.14759231291652
2020-12-11 20:21:43,2.1734104046242777,8.333333333333332,7.1,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,2.9101796407185634,66.66666666666666,178.14759231291652
2020-12-11 20:21:44,1.6318537859007836,8.333333333333332,7.1,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,3.0333333333333337,66.66666666666666,177.72918938680786
2020-12-11 20:21:45,1.6318537859007836,8.333333333333332,5.725806451612903,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,3.0333333333333337,66.66666666666666,176.35499583842068
2020-12-11 20:21:46,1.6318537859007836,8.333333333333332,5.725806451612903,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,3.0333333333333337,66.66666666666666,176.35499583842068
2020-12-11 20:21:47,1.6318537859007836,8.333333333333332,5.725806451612903,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,3.0333333333333337,66.66666666666666,176.35499583842068
2020-12-11 20:21:48,1.6318537859007836,8.333333333333332,5.725806451612903,5.347222222222221,3.0000000000000013,1.5555555555555558,78.06122448979592,3.0,3.0333333333333337,66.66666666666666,176.35499583842068
2020-12-11 20:21:49,1.6318537859007836,8.333333333333332,5.725806451612903,5.347222222222221,3.0000000000000013,1.5555555555555558,72.32142857142857,3.0,3.0333333333333337,66.66666666666666,170.6151999200533
2020-12-11 20:21:50,1.6318537859007836,8.333333333333332,5.725806451612903,5.347222222222221,3.0000000000000013,1.5555555555555558,72.32142857142857,3.0,3.0333333333333337,66.66666666666666,170.6151999200533
