Time,shippingservice,emailservice,cartservice,checkoutservice,productcatalogservice,frontend,recommendationservice,paymentservice,adservice,currencyservice,Total
2020-11-08 09:00:28,2.833333333333333,3.0,6.985294117647059,50.0,2.926267281105991,84.84848484848484,12.884615384615385,3.0,8.035714285714285,2.972027972027972,177.4857372229289
2020-11-08 09:00:29,2.833333333333333,3.0,6.985294117647059,50.0,2.926267281105991,84.84848484848484,12.884615384615385,3.0,8.035714285714285,2.972027972027972,177.4857372229289
2020-11-08 09:00:30,2.833333333333333,3.0,6.985294117647059,50.0,2.926267281105991,84.84848484848484,12.884615384615385,3.0,8.035714285714285,2.972027972027972,177.4857372229289
2020-11-08 09:00:31,2.833333333333333,3.0,6.985294117647059,50.0,2.926267281105991,84.84848484848484,12.884615384615385,3.0,8.035714285714285,2.972027972027972,177.4857372229289
2020-11-08 09:00:32,2.833333333333333,3.0,6.985294117647059,50.0,2.7837837837837838,84.84848484848484,12.884615384615385,3.0,8.035714285714285,2.972027972027972,177.3432537256067
2020-11-08 09:00:33,2.833333333333333,3.0,6.141304347826088,50.0,2.7837837837837838,84.84848484848484,12.884615384615385,3.0,8.035714285714285,2.972027972027972,176.49926395578566
2020-11-08 09:00:34,2.833333333333333,3.0,6.141304347826088,50.0,2.7837837837837838,87.0,12.884615384615385,3.0,8.035714285714285,2.972027972027972,178.65077910730082
2020-11-08 09:00:35,2.3793103448275863,3.0,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,8.035714285714285,2.972027972027972,179.56214073417968
2020-11-08 09:00:36,2.3793103448275863,3.0,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,8.035714285714285,2.972027972027972,179.56214073417968
2020-11-08 09:00:37,2.3793103448275863,3.0,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.972027972027972,178.29113233081836
2020-11-08 09:00:38,2.3793103448275863,3.0,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.972027972027972,178.29113233081836
2020-11-08 09:00:39,2.3793103448275863,3.6666666666666665,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.972027972027972,178.957798997485
2020-11-08 09:00:40,2.3793103448275863,3.6666666666666665,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.972027972027972,178.957798997485
2020-11-08 09:00:41,2.3793103448275863,3.6666666666666665,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.972027972027972,178.957798997485
2020-11-08 09:00:42,2.3793103448275863,3.6666666666666665,6.141304347826088,50.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.963133640552995,178.94890466601
2020-11-08 09:00:43,2.3793103448275863,3.6666666666666665,6.141304347826088,175.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.963133640552995,303.94890466601004
2020-11-08 09:00:44,2.3793103448275863,3.6666666666666665,6.141304347826088,175.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.963133640552995,303.94890466601004
2020-11-08 09:00:45,2.3793103448275863,3.6666666666666665,6.141304347826088,175.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.963133640552995,303.94890466601004
2020-11-08 09:00:46,2.3793103448275863,3.6666666666666665,6.141304347826088,175.0,2.7837837837837838,87.0,14.25,3.0,6.764705882352941,2.963133640552995,303.94890466601004
2020-11-08 09:00:47,2.3793103448275863,3.6666666666666665,6.141304347826088,175.0,2.7893081761006293,87.0,14.25,3.0,6.764705882352941,2.963133640552995,303.95442905832687
2020-11-08 09:00:48,2.3793103448275863,3.6666666666666665,7.35,175.0,2.7893081761006293,87.0,14.25,3.0,6.764705882352941,2.963133640552995,305.16312471050077
2020-11-08 09:00:49,2.3793103448275863,3.6666666666666665,7.35,175.0,2.7893081761006293,107.8358208955224,14.25,3.0,6.764705882352941,2.963133640552995,325.9989456060232
2020-11-08 09:00:50,2.8260869565217392,3.6666666666666665,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0,6.764705882352941,2.963133640552995,325.89137439163034
2020-11-08 09:00:51,2.8260869565217392,3.6666666666666665,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0,6.764705882352941,2.963133640552995,325.89137439163034
2020-11-08 09:00:52,2.8260869565217392,3.6666666666666665,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0,6.071428571428571,2.963133640552995,325.19809708070596
2020-11-08 09:00:53,2.8260869565217392,3.6666666666666665,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0,6.071428571428571,2.963133640552995,325.19809708070596
2020-11-08 09:00:54,2.8260869565217392,4.2,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0,6.071428571428571,2.963133640552995,325.7314304140393
2020-11-08 09:00:55,2.8260869565217392,4.2,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0,6.071428571428571,2.963133640552995,325.7314304140393
2020-11-08 09:00:56,2.8260869565217392,4.2,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0000000000000004,6.071428571428571,2.963133640552995,325.7314304140393
2020-11-08 09:00:57,2.8260869565217392,4.2,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0000000000000004,6.071428571428571,3.2434077079107517,326.01170448139715
2020-11-08 09:00:58,2.8260869565217392,4.2,7.35,175.0,2.7893081761006293,107.8358208955224,13.695652173913045,3.0000000000000004,6.071428571428571,3.2434077079107517,326.01170448139715
