Time,currencyservice,emailservice,recommendationservice,productcatalogservice,frontend,shippingservice,cartservice,checkoutservice,adservice,paymentservice,Total
2020-12-15 13:09:21,3.0,,7.5,2.928571428571429,81.25,3.0,4.0,,7.5,,109.17857142857143
2020-12-15 13:09:22,3.0,,7.5,2.928571428571429,81.25,3.0,4.0,,7.5,,109.17857142857143
2020-12-15 13:09:23,3.0,,7.5,2.928571428571429,81.25,3.0,4.0,,7.5,,109.17857142857143
2020-12-15 13:09:24,3.0,,7.5,2.928571428571429,81.25,3.0,4.0,,7.5,,109.17857142857143
2020-12-15 13:09:25,3.0,,7.5,2.928571428571429,81.25,3.0,4.0,,5.0,,106.67857142857143
2020-12-15 13:09:26,3.0,,7.5,2.928571428571429,81.25,3.0,4.0,,5.0,,106.67857142857143
2020-12-15 13:09:27,3.0,,7.5,2.928571428571429,81.25,3.0,4.0,,5.0,,106.67857142857143
2020-12-15 13:09:28,3.0,,7.5,2.928571428571429,81.25,0.25,4.0,,5.0,,103.92857142857143
2020-12-15 13:09:29,3.4285714285714284,,7.5,2.928571428571429,81.25,0.25,4.0,,5.0,,104.35714285714286
2020-12-15 13:09:30,3.4285714285714284,,7.5,2.928571428571429,81.25,0.25,6.875,,5.0,,107.23214285714286
2020-12-15 13:09:31,3.4285714285714284,,17.500000000000004,2.928571428571429,87.5,0.25,6.875,,5.0,,123.48214285714286
2020-12-15 13:09:32,3.4285714285714284,,17.500000000000004,2.928571428571429,87.5,0.25,6.875,,5.0,,123.48214285714286
2020-12-15 13:09:33,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,5.0,,123.55357142857143
2020-12-15 13:09:34,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,5.0,,123.55357142857143
2020-12-15 13:09:35,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,5.0,,123.55357142857143
2020-12-15 13:09:36,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,5.0,,123.55357142857143
2020-12-15 13:09:37,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,5.0,,123.55357142857143
2020-12-15 13:09:38,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,5.0,,123.55357142857143
2020-12-15 13:09:39,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,5.0,,123.55357142857143
2020-12-15 13:09:40,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,3.0,,121.55357142857143
2020-12-15 13:09:41,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,3.0,,121.55357142857143
2020-12-15 13:09:42,3.4285714285714284,,17.500000000000004,3.0,87.5,0.25,6.875,,3.0,,121.55357142857143
2020-12-15 13:09:43,3.4285714285714284,,17.500000000000004,3.0,87.5,3.0,6.875,,3.0,,124.30357142857143
2020-12-15 13:09:44,3.5,,17.500000000000004,3.0,87.5,3.0,6.875,,3.0,,124.375
2020-12-15 13:09:45,3.5,,17.500000000000004,3.0,87.5,3.0,5.0,,3.0,,122.5
2020-12-15 13:09:46,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:47,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:48,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:49,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:50,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:51,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:52,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:53,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:54,3.5,,10.0,3.0,175.0,3.0,5.0,,3.0,,202.5
2020-12-15 13:09:55,3.5,,10.0,3.0,175.0,3.0,5.0,,7.5,,207.0
