Time,currencyservice,checkoutservice,recommendationservice,cartservice,shippingservice,productcatalogservice,paymentservice,adservice,frontend,emailservice,Total
2020-12-02 00:37:21,2.3865030674846626,,7.5,5.5,3.0,3.015625,3.0,5.833333333333332,82.8125,3.0,116.04796140081801
2020-12-02 00:37:22,2.3865030674846626,,7.5,5.5,3.0,3.015625,3.0,7.2857142857142865,82.8125,3.0,117.50034235319895
2020-12-02 00:37:23,2.3865030674846626,,7.5,5.5,3.0,3.015625,3.0,7.2857142857142865,82.8125,3.0,117.50034235319895
2020-12-02 00:37:24,2.3865030674846626,,7.5,5.5,3.0,3.015625,3.0,7.2857142857142865,82.8125,3.0,117.50034235319895
2020-12-02 00:37:25,2.3865030674846626,,7.5,5.5,3.0,3.015625,3.0,7.2857142857142865,82.8125,3.0,117.50034235319895
2020-12-02 00:37:26,2.3865030674846626,,9.791666666666666,4.777777777777779,3.0,3.015625,3.0,7.2857142857142865,82.8125,3.0,119.06978679764342
2020-12-02 00:37:27,2.3865030674846626,,9.791666666666666,4.777777777777779,3.0,3.015625,3.0,7.2857142857142865,80.625,3.0,116.88228679764342
2020-12-02 00:37:28,2.3865030674846626,,9.791666666666666,4.777777777777779,3.0,3.015625,3.0,7.2857142857142865,80.625,3.0,116.88228679764342
2020-12-02 00:37:29,2.3865030674846626,,9.791666666666666,4.777777777777779,3.0,3.015625,3.0,7.2857142857142865,80.625,3.5,117.38228679764342
2020-12-02 00:37:30,2.3865030674846626,156.25,9.791666666666666,4.777777777777779,3.0,2.8142857142857145,3.0,7.2857142857142865,80.625,3.5,273.4309475119291
2020-12-02 00:37:31,2.3865030674846626,156.25,9.791666666666666,4.777777777777779,3.0,2.8142857142857145,3.0,7.2857142857142865,80.625,3.5,273.4309475119291
2020-12-02 00:37:32,2.3865030674846626,156.25,9.791666666666666,4.777777777777779,3.0,2.8142857142857145,3.0,7.2857142857142865,80.625,3.5,273.4309475119291
2020-12-02 00:37:33,2.3865030674846626,156.25,9.791666666666666,4.777777777777779,3.0,2.8142857142857145,3.0,7.2857142857142865,80.625,3.5,273.4309475119291
2020-12-02 00:37:34,2.85625,156.25,9.791666666666666,4.777777777777779,3.0,2.8142857142857145,3.0,7.2857142857142865,80.625,3.5,273.9006944444444
2020-12-02 00:37:35,2.85625,156.25,9.791666666666666,4.777777777777779,2.8461538461538463,2.8142857142857145,3.0,7.2857142857142865,80.625,3.5,273.7468482905983
2020-12-02 00:37:36,2.85625,156.25,9.791666666666666,4.777777777777779,2.8461538461538463,2.8142857142857145,3.0,7.2857142857142865,80.625,3.5,273.7468482905983
