Time,Memory,Total
2020-11-10 20:50:00,1816227840.0,1816227840.0
2020-11-10 20:51:00,1816264704.0,1816264704.0
2020-11-10 20:52:00,1705869312.0,1705869312.0
2020-11-10 20:53:00,1708818432.0,1708818432.0
2020-11-10 20:54:00,1711013888.0,1711013888.0
2020-11-10 20:55:00,1711816704.0,1711816704.0
2020-11-10 20:56:00,1712136192.0,1712136192.0
2020-11-10 20:57:00,1692303360.0,1692303360.0
2020-11-10 20:58:00,1693339648.0,1693339648.0
2020-11-10 20:59:00,1694965760.0,1694965760.0
2020-11-10 21:00:00,1692983296.0,1692983296.0
2020-11-10 21:01:00,1650761728.0,1650761728.0
2020-11-10 21:02:00,1655599104.0,1655599104.0
2020-11-10 21:03:00,1652174848.0,1652174848.0
2020-11-10 21:04:00,1660530688.0,1660530688.0
2020-11-10 21:05:00,1630019584.0,1630019584.0
2020-11-10 21:06:00,1536311296.0,1536311296.0
2020-11-10 21:07:00,1536643072.0,1536643072.0
2020-11-10 21:08:00,1536806912.0,1536806912.0
2020-11-10 21:09:00,1481285632.0,1481285632.0
2020-11-10 21:10:00,1480511488.0,1480511488.0
2020-11-10 21:11:00,1481084928.0,1481084928.0
2020-11-10 21:12:00,1479970816.0,1479970816.0
2020-11-10 21:13:00,1480331264.0,1480331264.0
2020-11-10 21:14:00,1363488768.0,1363488768.0
2020-11-10 21:15:00,1380290560.0,1380290560.0
2020-11-10 21:16:00,1329135616.0,1329135616.0
2020-11-10 21:17:00,1339154432.0,1339154432.0
2020-11-10 21:18:00,1290960896.0,1290960896.0
2020-11-10 21:19:00,1195290624.0,1195290624.0
2020-11-10 21:20:00,1194692608.0,1194692608.0
2020-11-10 21:21:00,1194520576.0,1194520576.0
2020-11-10 21:22:00,1193115648.0,1193115648.0
2020-11-10 21:23:00,1138016256.0,1138016256.0
2020-11-10 21:24:00,1138720768.0,1138720768.0
2020-11-10 21:25:00,1138606080.0,1138606080.0
2020-11-10 21:26:00,1087004672.0,1087004672.0
2020-11-10 21:27:00,1087889408.0,1087889408.0
2020-11-10 21:28:00,1087762432.0,1087762432.0
2020-11-10 21:29:00,1086943232.0,1086943232.0
2020-11-10 21:30:00,1078702080.0,1078702080.0
2020-11-10 21:31:00,1031925760.0,1031925760.0
2020-11-10 21:32:00,1032306688.0,1032306688.0
2020-11-10 21:33:00,1031860224.0,1031860224.0
2020-11-10 21:34:00,1031507968.0,1031507968.0
2020-11-10 21:35:00,1032638464.0,1032638464.0
2020-11-10 21:36:00,1031770112.0,1031770112.0
2020-11-10 21:37:00,1032843264.0,1032843264.0
2020-11-10 21:38:00,1032126464.0,1032126464.0
2020-11-10 21:39:00,1032359936.0,1032359936.0
2020-11-10 21:40:00,1031565312.0,1031565312.0
2020-11-10 21:41:00,1034637312.0,1034637312.0
2020-11-10 21:42:00,1034420224.0,1034420224.0
2020-11-10 21:43:00,1078968320.0,1078968320.0
2020-11-10 21:44:00,1082044416.0,1082044416.0
2020-11-10 21:45:00,1040306176.0,1040306176.0
2020-11-10 21:46:00,1040236544.0,1040236544.0
2020-11-10 21:47:00,1043390464.0,1043390464.0
2020-11-10 21:48:00,1043603456.0,1043603456.0
2020-11-10 21:49:00,1133764608.0,1133764608.0
2020-11-10 21:50:00,1133502464.0,1133502464.0
2020-11-10 21:51:00,1136377856.0,1136377856.0
2020-11-10 21:52:00,1142996992.0,1142996992.0
2020-11-10 21:53:00,1144582144.0,1144582144.0
2020-11-10 21:54:00,1146343424.0,1146343424.0
2020-11-10 21:55:00,1238597632.0,1238597632.0
2020-11-10 21:56:00,1255358464.0,1255358464.0
2020-11-10 21:57:00,1257820160.0,1257820160.0
2020-11-10 21:58:00,1301037056.0,1301037056.0
2020-11-10 21:59:00,1405345792.0,1405345792.0
2020-11-10 22:00:00,1406996480.0,1406996480.0
2020-11-10 22:01:00,1413111808.0,1413111808.0
2020-11-10 22:02:00,1428508672.0,1428508672.0
2020-11-10 22:03:00,1462718464.0,1462718464.0
2020-11-10 22:04:00,1459478528.0,1459478528.0
2020-11-10 22:05:00,1463877632.0,1463877632.0
2020-11-10 22:06:00,1465466880.0,1465466880.0
2020-11-10 22:07:00,1467125760.0,1467125760.0
2020-11-10 22:08:00,1511698432.0,1511698432.0
2020-11-10 22:09:00,1525211136.0,1525211136.0
2020-11-10 22:10:00,1542721536.0,1542721536.0
2020-11-10 22:11:00,1575297024.0,1575297024.0
2020-11-10 22:12:00,1665531904.0,1665531904.0
2020-11-10 22:13:00,1651236864.0,1651236864.0
2020-11-10 22:14:00,1667141632.0,1667141632.0
2020-11-10 22:15:00,1668325376.0,1668325376.0
2020-11-10 22:16:00,1684533248.0,1684533248.0
2020-11-10 22:17:00,1701597184.0,1701597184.0
2020-11-10 22:18:00,1702412288.0,1702412288.0
2020-11-10 22:19:00,1695019008.0,1695019008.0
2020-11-10 22:20:00,1718734848.0,1718734848.0
2020-11-10 22:21:00,1747951616.0,1747951616.0
2020-11-10 22:22:00,1753133056.0,1753133056.0
2020-11-10 22:23:00,1752739840.0,1752739840.0
2020-11-10 22:24:00,1756561408.0,1756561408.0
2020-11-10 22:25:00,1768579072.0,1768579072.0
2020-11-10 22:26:00,1810014208.0,1810014208.0
2020-11-10 22:27:00,1819127808.0,1819127808.0
2020-11-10 22:28:00,1981059072.0,1981059072.0
2020-11-10 22:29:00,1985527808.0,1985527808.0
2020-11-10 22:30:00,2053083136.0,2053083136.0
2020-11-10 22:31:00,2069520384.0,2069520384.0
2020-11-10 22:32:00,2113728512.0,2113728512.0
2020-11-10 22:33:00,2116378624.0,2116378624.0
2020-11-10 22:34:00,2166509568.0,2166509568.0
2020-11-10 22:35:00,2165047296.0,2165047296.0
2020-11-10 22:36:00,2175881216.0,2175881216.0
2020-11-10 22:37:00,2172416000.0,2172416000.0
2020-11-10 22:38:00,2180190208.0,2180190208.0
2020-11-10 22:39:00,2183147520.0,2183147520.0
2020-11-10 22:40:00,2169401344.0,2169401344.0
2020-11-10 22:41:00,2176729088.0,2176729088.0
2020-11-10 22:42:00,2225856512.0,2225856512.0
2020-11-10 22:43:00,2210021376.0,2210021376.0
2020-11-10 22:44:00,2229374976.0,2229374976.0
2020-11-10 22:45:00,2255409152.0,2255409152.0
2020-11-10 22:46:00,2285027328.0,2285027328.0
2020-11-10 22:47:00,2278264832.0,2278264832.0
2020-11-10 22:48:00,2277593088.0,2277593088.0
2020-11-10 22:49:00,2280935424.0,2280935424.0
2020-11-10 22:50:00,2282082304.0,2282082304.0
2020-11-10 22:51:00,2293886976.0,2293886976.0
2020-11-10 22:52:00,2297815040.0,2297815040.0
2020-11-10 22:53:00,2274390016.0,2274390016.0
2020-11-10 22:54:00,2300805120.0,2300805120.0
2020-11-10 22:55:00,2387857408.0,2387857408.0
2020-11-10 22:56:00,2382172160.0,2382172160.0
2020-11-10 22:57:00,2414600192.0,2414600192.0
2020-11-10 22:58:00,2425458688.0,2425458688.0
2020-11-10 22:59:00,2427736064.0,2427736064.0
2020-11-10 23:00:00,2432249856.0,2432249856.0
2020-11-10 23:01:00,2428268544.0,2428268544.0
2020-11-10 23:02:00,2428526592.0,2428526592.0
2020-11-10 23:03:00,2424029184.0,2424029184.0
2020-11-10 23:04:00,2420281344.0,2420281344.0
2020-11-10 23:05:00,2430324736.0,2430324736.0
2020-11-10 23:06:00,2445656064.0,2445656064.0
2020-11-10 23:07:00,2438004736.0,2438004736.0
2020-11-10 23:08:00,2431062016.0,2431062016.0
2020-11-10 23:09:00,2436829184.0,2436829184.0
2020-11-10 23:10:00,2437394432.0,2437394432.0
2020-11-10 23:11:00,2438053888.0,2438053888.0
2020-11-10 23:12:00,2447228928.0,2447228928.0
2020-11-10 23:13:00,2449469440.0,2449469440.0
2020-11-10 23:14:00,2451980288.0,2451980288.0
2020-11-10 23:15:00,2423316480.0,2423316480.0
2020-11-10 23:16:00,2433540096.0,2433540096.0
2020-11-10 23:17:00,2432573440.0,2432573440.0
2020-11-10 23:18:00,2434658304.0,2434658304.0
2020-11-10 23:19:00,2440806400.0,2440806400.0
2020-11-10 23:20:00,2450579456.0,2450579456.0
2020-11-10 23:21:00,2450030592.0,2450030592.0
2020-11-10 23:22:00,2443984896.0,2443984896.0
2020-11-10 23:23:00,2447699968.0,2447699968.0
2020-11-10 23:24:00,2443001856.0,2443001856.0
2020-11-10 23:25:00,2437218304.0,2437218304.0
2020-11-10 23:26:00,2437677056.0,2437677056.0
2020-11-10 23:27:00,2431778816.0,2431778816.0
2020-11-10 23:28:00,2432679936.0,2432679936.0
2020-11-10 23:29:00,2449772544.0,2449772544.0
2020-11-10 23:30:00,2376925184.0,2376925184.0
2020-11-10 23:31:00,2373996544.0,2373996544.0
2020-11-10 23:32:00,2319683584.0,2319683584.0
2020-11-10 23:33:00,2319597568.0,2319597568.0
2020-11-10 23:34:00,2328981504.0,2328981504.0
2020-11-10 23:35:00,2330415104.0,2330415104.0
2020-11-10 23:36:00,2334744576.0,2334744576.0
2020-11-10 23:37:00,2327924736.0,2327924736.0
2020-11-10 23:38:00,2331410432.0,2331410432.0
2020-11-10 23:39:00,2275053568.0,2275053568.0
2020-11-10 23:40:00,2272534528.0,2272534528.0
2020-11-10 23:41:00,2272841728.0,2272841728.0
2020-11-10 23:42:00,2220613632.0,2220613632.0
2020-11-10 23:43:00,2216214528.0,2216214528.0
2020-11-10 23:44:00,2157625344.0,2157625344.0
2020-11-10 23:45:00,2174525440.0,2174525440.0
2020-11-10 23:46:00,2073985024.0,2073985024.0
2020-11-10 23:47:00,2015526912.0,2015526912.0
2020-11-10 23:48:00,2011471872.0,2011471872.0
2020-11-10 23:49:00,2009268224.0,2009268224.0
2020-11-10 23:50:00,2011267072.0,2011267072.0
2020-11-10 23:51:00,1885020160.0,1885020160.0
2020-11-10 23:52:00,1889005568.0,1889005568.0
2020-11-10 23:53:00,1887461376.0,1887461376.0
2020-11-10 23:54:00,1897316352.0,1897316352.0
2020-11-10 23:55:00,1825837056.0,1825837056.0
2020-11-10 23:56:00,1826996224.0,1826996224.0
2020-11-10 23:57:00,1772576768.0,1772576768.0
2020-11-10 23:58:00,1765404672.0,1765404672.0
2020-11-10 23:59:00,1761091584.0,1761091584.0
2020-11-11 00:00:00,1760223232.0,1760223232.0
2020-11-11 00:01:00,1762619392.0,1762619392.0
2020-11-11 00:02:00,1705615360.0,1705615360.0
2020-11-11 00:03:00,1705627648.0,1705627648.0
2020-11-11 00:04:00,1699753984.0,1699753984.0
2020-11-11 00:05:00,1658523648.0,1658523648.0
2020-11-11 00:06:00,1659191296.0,1659191296.0
2020-11-11 00:07:00,1659953152.0,1659953152.0
2020-11-11 00:08:00,1666842624.0,1666842624.0
2020-11-11 00:09:00,1528446976.0,1528446976.0
2020-11-11 00:10:00,1527443456.0,1527443456.0
2020-11-11 00:11:00,1529499648.0,1529499648.0
2020-11-11 00:12:00,1527906304.0,1527906304.0
2020-11-11 00:13:00,1535250432.0,1535250432.0
2020-11-11 00:14:00,1394954240.0,1394954240.0
2020-11-11 00:15:00,1419763712.0,1419763712.0
