Time,currencyservice,frontend,productcatalogservice,shippingservice,checkoutservice,adservice,paymentservice,emailservice,cartservice,recommendationservice,Total
2020-11-10 19:06:00,,,,,,,,,,,0.0
2020-11-10 19:07:00,,,,,,,,,,,0.0
2020-11-10 19:08:00,,,,,,,,,,,0.0
2020-11-10 19:09:00,,,,,,,,,,,0.0
2020-11-10 19:10:00,,,,,,,,,,,0.0
2020-11-10 19:11:00,2.6944444444444446,97.22222222222223,2.6102236421725244,2.7948717948717947,100.0,4.616438356164384,3.0,3.0,4.729166666666666,10.156249999999998,230.82361712654202
2020-11-10 19:12:00,3.419270833333333,254.5620437956204,3.237313432835821,2.1176470588235294,182.5,4.619718309859155,3.0,3.1176470588235294,7.709677419354837,15.892857142857142,480.1761750515078
2020-11-10 19:13:00,5.296420581655481,648.1132075471698,4.0564024390243905,2.8058252427184462,203.125,4.752688172043011,3.333333333333333,3.0,9.82283464566929,22.705223880597018,907.010935842211
2020-11-10 19:14:00,11.15950920245399,1247.641509433962,6.219437652811737,3.1146496815286624,200.0,6.25,3.4615384615384612,3.1052631578947367,14.346938775510203,72.46376811594202,1567.7626144816418
2020-11-10 19:15:00,10.687679083094558,1601.8356643356642,8.532725321888412,3.605263157894737,687.5,15.981012658227854,3.6666666666666665,4.181818181818182,21.930232558139537,190.6417112299465,2548.5627731933405
2020-11-10 19:16:00,12.768041237113401,1778.5000000000002,8.842391304347828,3.3466666666666667,180.76923076923077,7.589285714285717,3.5,3.0,13.157894736842104,172.61363636363637,2184.0871467921233
2020-11-10 19:17:00,13.627353815659069,1907.8947368421054,11.917211328976036,3.5733333333333333,218.75,5.7142857142857135,3.1666666666666665,3.2399999999999998,13.594339622641506,105.53977272727273,2287.01770005094
2020-11-10 19:18:00,12.598299681190223,2709.677419354839,15.85443037974683,4.244755244755245,342.10526315789474,5.348101265822785,4.222222222222222,3.058823529411765,16.25961538461538,183.6538461538462,3297.0227763743446
2020-11-10 19:19:00,16.384297520661157,2629.1079812206576,14.564748201438853,3.3439490445859876,305.5555555555556,6.6820987654321,3.6666666666666665,3.6,21.0,248.75,3252.6552969749982
2020-11-10 19:20:00,15.433070866141733,2291.1676646706587,13.045918367346937,3.328767123287671,500.0,4.455830388692579,3.6363636363636362,3.3636363636363633,17.086614173228348,162.6179245283019,3014.135790117658
2020-11-10 19:21:00,14.984375000000004,2351.351351351351,21.3091922005571,3.151351351351351,291.66666666666663,5.481651376146789,3.4,4.2,14.221311475409836,192.26618705035972,2902.0320864718424
2020-11-10 19:22:00,18.471502590673573,3443.6274509803925,15.312699425654117,3.5853658536585367,340.90909090909093,5.337837837837838,3.4545454545454546,3.1818181818181817,15.445544554455447,319.1287878787879,4168.454643666914
2020-11-10 19:23:00,19.450000000000003,3450.2351097178685,16.102638087386644,4.124183006535947,362.49999999999994,4.3156146179401995,3.16,3.3030303030303028,16.166666666666668,221.38157894736844,4100.738821346797
2020-11-10 19:24:00,18.65275142314991,3338.6581469648563,11.77985074626866,3.740740740740741,333.3333333333333,6.25,3.5384615384615388,3.193548387096774,17.217465753424662,277.9329608938547,4014.2972597811863
2020-11-10 19:25:00,15.72928490351873,3774.9546279491833,11.78082191780822,3.6783625730994154,296.875,7.127659574468085,3.1000000000000005,3.413793103448276,19.890350877192986,387.6146788990825,4524.164579797802
