Time,recommendationservice,adservice,currencyservice,cartservice,shippingservice,checkoutservice,frontend,paymentservice,emailservice,productcatalogservice,Total
2020-11-10 16:23:05,13.69140625,2.020689655172414,2.8706702114424845,6.790865384615384,1.1764705882352944,87.5,87.01923076923076,2.0,3.25,1.208378088077336,207.52771094677368
2020-11-10 16:23:06,13.69140625,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,87.5,87.01923076923076,2.0,3.25,1.208378088077336,207.98303845555927
2020-11-10 16:23:07,13.69140625,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,87.5,87.01923076923076,2.0,3.25,1.208378088077336,207.98303845555927
2020-11-10 16:23:08,13.69140625,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,87.5,87.01923076923076,2.0,3.25,1.3793690635355316,208.15402943101756
2020-11-10 16:23:09,12.231012658227847,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,87.5,87.01923076923076,2.0,3.25,1.3793690635355316,206.6936358392454
2020-11-10 16:23:10,12.231012658227847,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,112.5,87.01923076923076,2.0,3.25,1.3793690635355316,231.6936358392454
2020-11-10 16:23:11,12.231012658227847,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,112.5,87.01923076923076,2.0,3.1428571428571432,1.3793690635355316,231.5864929821025
2020-11-10 16:23:12,12.231012658227847,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,112.5,87.01923076923076,2.0,3.1428571428571432,1.3793690635355316,231.5864929821025
2020-11-10 16:23:13,12.231012658227847,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,112.5,87.01923076923076,2.0,3.1428571428571432,1.4864648691883244,231.69358878775532
2020-11-10 16:23:14,12.231012658227847,2.020689655172414,2.8706702114424845,7.246192893401013,1.1764705882352944,112.5,87.01923076923076,2.0,3.1428571428571432,1.4864648691883244,231.69358878775532
2020-11-10 16:23:15,12.231012658227847,2.4204545454545454,2.8706702114424845,7.246192893401013,1.1764705882352944,112.5,85.55910998193896,2.0,3.1428571428571432,1.4864648691883244,230.63323289074557
2020-11-10 16:23:16,12.231012658227847,2.4204545454545454,2.8706702114424845,7.246192893401013,1.1764705882352944,112.5,85.55910998193896,2.0,3.1428571428571432,1.4864648691883244,230.63323289074557
2020-11-10 16:23:17,12.231012658227847,2.4204545454545454,2.8706702114424845,7.246192893401013,1.4556962025316451,112.5,85.55910998193896,2.9047619047619047,3.1428571428571432,1.4864648691883244,231.81722040980384
2020-11-10 16:23:18,12.231012658227847,2.4204545454545454,2.7537047410311932,7.246192893401013,1.4556962025316451,112.5,85.55910998193896,2.9047619047619047,3.1428571428571432,1.4864648691883244,231.70025493939255
2020-11-10 16:23:19,12.231012658227847,2.4204545454545454,2.7537047410311932,7.246192893401013,1.4556962025316451,112.5,83.389502040641,2.9047619047619047,3.1428571428571432,1.4864648691883244,229.53064699809462
2020-11-10 16:23:20,12.231012658227847,2.4204545454545454,2.756896565997177,7.246192893401013,1.4556962025316451,112.5,83.389502040641,2.9047619047619047,3.1428571428571432,1.4864648691883244,229.53383882306062
