Time,paymentservice,cartservice,recommendationservice,shippingservice,adservice,productcatalogservice,checkoutservice,currencyservice,frontend,emailservice,Total
2020-11-22 22:19:51,2.5,9.42687747035573,12.867189807847115,1.8920863309352516,2.947916666666666,2.30318871616337,115.0,3.3210272873194224,300.4670110856663,3.333333333333333,454.0586306982872
2020-11-22 22:19:52,2.5,9.42687747035573,12.77012418278045,1.8920863309352516,2.947916666666666,2.30318871616337,115.0,3.3210272873194224,300.4670110856663,3.333333333333333,453.9615650732205
2020-11-22 22:19:53,2.5,9.42687747035573,12.77012418278045,1.8920863309352516,2.947916666666666,2.30318871616337,115.0,3.3210272873194224,299.33744350516656,3.333333333333333,452.8319974927208
2020-11-22 22:19:54,2.5,9.42687747035573,12.77012418278045,1.8920863309352516,2.947916666666666,2.30318871616337,115.0,3.3210272873194224,296.699192380388,3.333333333333333,450.1937463679422
2020-11-22 22:19:55,2.5,9.42687747035573,12.77012418278045,1.8920863309352516,2.947916666666666,2.30318871616337,115.0,3.2402173913043475,296.699192380388,3.333333333333333,450.1129364719272
2020-11-22 22:19:56,2.5,10.505952380952381,12.77012418278045,1.82089552238806,2.947916666666666,2.30318871616337,115.0,3.1181015452538627,297.6425888426648,3.333333333333333,451.942101190203
2020-11-22 22:19:57,2.5,10.505952380952381,12.77012418278045,1.82089552238806,2.947916666666666,2.30318871616337,164.28571428571428,2.90053087506396,300.27803042234814,3.333333333333333,503.6456863854106
2020-11-22 22:19:58,3.31578947368421,10.505952380952381,12.77012418278045,1.82089552238806,2.947916666666666,2.30318871616337,164.28571428571428,2.90053087506396,300.27803042234814,3.333333333333333,504.46147585909483
2020-11-22 22:19:59,3.31578947368421,10.505952380952381,11.69211616615975,1.82089552238806,2.947916666666666,2.243016320816797,164.28571428571428,2.90053087506396,252.66809430901333,3.333333333333333,455.7133593337928
2020-11-22 22:20:00,3.31578947368421,10.505952380952381,11.69211616615975,1.82089552238806,2.947916666666666,2.243016320816797,164.28571428571428,2.90053087506396,252.66809430901333,3.333333333333333,455.7133593337928
2020-11-22 22:20:01,3.31578947368421,10.505952380952381,11.69211616615975,1.82089552238806,2.947916666666666,2.243016320816797,164.28571428571428,2.90053087506396,246.7651802709161,3.5,449.9771119623622
