Time,currencyservice,productcatalogservice,cartservice,adservice,paymentservice,checkoutservice,recommendationservice,emailservice,shippingservice,frontend,Total
2020-11-06 20:00:19,1.6153846153846152,0.4324324324324325,5.499999999999999,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,78.125,210.77599165099167
2020-11-06 20:00:20,2.908713692946058,0.4324324324324325,5.499999999999999,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,78.125,212.0693207285531
2020-11-06 20:00:21,2.908713692946058,0.4324324324324325,5.499999999999999,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,78.125,212.0693207285531
2020-11-06 20:00:22,2.908713692946058,0.4324324324324325,5.499999999999999,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,78.125,212.0693207285531
2020-11-06 20:00:23,2.908713692946058,0.4324324324324325,5.499999999999999,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,78.125,212.0693207285531
2020-11-06 20:00:24,2.908713692946058,2.6319444444444438,6.052631578947367,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,77.22222222222223,213.9186865417347
2020-11-06 20:00:25,2.908713692946058,2.6319444444444438,6.052631578947367,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,77.22222222222223,213.9186865417347
2020-11-06 20:00:26,2.908713692946058,2.6319444444444438,6.052631578947367,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,77.22222222222223,213.9186865417347
2020-11-06 20:00:27,2.908713692946058,2.6319444444444438,6.052631578947367,6.388888888888888,3.0,100.0,10.0,3.0,2.7142857142857144,77.22222222222223,213.9186865417347
2020-11-06 20:00:28,2.908713692946058,2.6319444444444438,6.052631578947367,6.388888888888888,3.0,175.0,10.0,3.0,2.7142857142857144,77.22222222222223,288.9186865417347
2020-11-06 20:00:29,2.908713692946058,2.6319444444444438,6.052631578947367,6.388888888888888,3.0,175.0,10.0,3.0,2.7142857142857144,77.22222222222223,288.9186865417347
2020-11-06 20:00:30,2.908713692946058,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,10.0,3.0,2.7142857142857144,77.22222222222223,288.91137660021417
2020-11-06 20:00:31,2.908713692946058,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,10.0,3.0,2.7142857142857144,77.22222222222223,288.91137660021417
2020-11-06 20:00:32,2.908713692946058,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,10.0,3.0,2.833333333333333,77.22222222222223,289.0304242192619
2020-11-06 20:00:33,2.908713692946058,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,10.0,3.0,2.833333333333333,77.22222222222223,289.0304242192619
2020-11-06 20:00:34,2.908713692946058,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,77.22222222222223,290.3161385049761
2020-11-06 20:00:35,2.8426229508196723,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,77.22222222222223,290.2500477628497
2020-11-06 20:00:36,2.8426229508196723,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,77.22222222222223,290.2500477628497
2020-11-06 20:00:37,2.8426229508196723,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,77.22222222222223,290.2500477628497
2020-11-06 20:00:38,2.8426229508196723,2.6319444444444438,6.052631578947367,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,77.22222222222223,290.2500477628497
2020-11-06 20:00:39,2.8426229508196723,2.1392405063291138,5.526315789473684,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,83.51063829787235,295.5194441109108
2020-11-06 20:00:40,2.8426229508196723,2.1392405063291138,5.526315789473684,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,83.51063829787235,295.5194441109108
2020-11-06 20:00:41,2.8426229508196723,2.1392405063291138,5.526315789473684,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,83.51063829787235,295.5194441109108
2020-11-06 20:00:42,2.8426229508196723,2.1392405063291138,5.526315789473684,6.38157894736842,3.0,175.0,11.285714285714285,3.0,2.833333333333333,83.51063829787235,295.5194441109108
2020-11-06 20:00:43,2.8426229508196723,2.1392405063291138,5.526315789473684,6.38157894736842,2.333333333333333,137.5,11.285714285714285,3.0,2.833333333333333,83.51063829787235,257.35277744424417
2020-11-06 20:00:44,2.8426229508196723,2.1392405063291138,5.526315789473684,6.38157894736842,2.333333333333333,137.5,11.285714285714285,3.0,2.833333333333333,83.51063829787235,257.35277744424417
2020-11-06 20:00:45,2.8426229508196723,2.1392405063291138,5.526315789473684,4.6,2.333333333333333,137.5,11.285714285714285,3.0,2.833333333333333,83.51063829787235,255.5711984968758
2020-11-06 20:00:46,2.8426229508196723,2.1392405063291138,5.526315789473684,4.6,2.333333333333333,137.5,11.285714285714285,3.0,2.833333333333333,83.51063829787235,255.5711984968758
2020-11-06 20:00:47,2.8426229508196723,2.1392405063291138,5.526315789473684,4.6,2.333333333333333,137.5,11.285714285714285,3.0,2.5,83.51063829787235,255.23786516354244
2020-11-06 20:00:48,2.8426229508196723,2.1392405063291138,5.526315789473684,4.6,2.333333333333333,137.5,11.285714285714285,3.0,2.5,83.51063829787235,255.23786516354244
2020-11-06 20:00:49,2.8426229508196723,2.1392405063291138,5.526315789473684,4.6,2.333333333333333,137.5,13.295454545454547,5.0,2.5,83.51063829787235,259.2476054232826
