Time,currencyservice,adservice,paymentservice,emailservice,shippingservice,cartservice,productcatalogservice,checkoutservice,frontend,recommendationservice,Total
2020-11-25 13:25:21,3.0,6.749999999999999,,,2.1111111111111107,3.5555555555555562,2.852941176470588,75.0,91.66666666666669,10.0,194.93627450980392
2020-11-25 13:25:22,3.0,6.749999999999999,,3.0,2.1111111111111107,3.5555555555555562,2.852941176470588,75.0,91.66666666666669,10.0,197.93627450980392
2020-11-25 13:25:23,3.0,6.749999999999999,,3.0,2.1111111111111107,3.5555555555555562,2.852941176470588,75.0,91.66666666666669,10.0,197.93627450980392
2020-11-25 13:25:24,2.980707395498392,6.749999999999999,,3.0,2.1111111111111107,3.5555555555555562,2.852941176470588,75.0,91.66666666666669,9.09090909090909,197.00789099621144
2020-11-25 13:25:25,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.5555555555555562,2.2847682119205297,75.0,91.66666666666669,9.09090909090909,199.43971803166139
2020-11-25 13:25:26,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.5555555555555562,2.2847682119205297,75.0,71.25,9.09090909090909,179.0230513649947
2020-11-25 13:25:27,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.895522388059701,2.2847682119205297,75.0,71.25,9.09090909090909,179.36301819749886
2020-11-25 13:25:28,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.36301819749883
2020-11-25 13:25:29,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.36301819749883
2020-11-25 13:25:30,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.36301819749883
2020-11-25 13:25:31,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.36301819749883
2020-11-25 13:25:32,2.980707395498392,6.749999999999999,3.0,3.0,2.1111111111111107,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.36301819749883
2020-11-25 13:25:33,2.980707395498392,6.749999999999999,3.0,3.0,2.12,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.3719070863877
2020-11-25 13:25:34,2.980707395498392,6.749999999999999,3.0,3.0,2.12,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.3719070863877
2020-11-25 13:25:35,2.980707395498392,5.961538461538463,3.0,3.0,2.12,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,278.58344554792615
2020-11-25 13:25:36,2.980707395498392,5.961538461538463,3.0,3.0,2.12,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,278.58344554792615
2020-11-25 13:25:37,2.980707395498392,5.961538461538463,3.0,4.333333333333333,2.12,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.9167788812595
2020-11-25 13:25:38,2.980707395498392,5.961538461538463,3.0,4.333333333333333,2.12,3.895522388059701,2.2847682119205297,175.0,71.25,9.09090909090909,279.9167788812595
